id,cast,crew
1010,"[{""cast_id"": 0, ""name"": ""Amy Adams"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Tom Hardy"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Ryan Gosling"", ""character"": ""Character 3""}]","[{""job"": ""Director"", ""name"": ""David Fincher""}, {""job"": ""Producer"", ""name"": ""Producer 40""}]"
1011,"[{""cast_id"": 0, ""name"": ""Anne Hathaway"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Ryan Gosling"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Emma Stone"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Robert Downey Jr"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""Steven Spielberg""}, {""job"": ""Producer"", ""name"": ""Producer 38""}]"
1012,"[{""cast_id"": 0, ""name"": ""Scarlett Johansson"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Amy Adams"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Christian Bale"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Angelina Jolie"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""Wes Anderson""}, {""job"": ""Producer"", ""name"": ""Producer 34""}]"
1013,"[{""cast_id"": 0, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Natalie Portman"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Brad Pitt"", ""character"": ""Character 3""}]","[{""job"": ""Director"", ""name"": ""David Fincher""}, {""job"": ""Producer"", ""name"": ""Producer 12""}]"
1014,"[{""cast_id"": 0, ""name"": ""Christian Bale"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Angelina Jolie"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Matt Damon"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Will Smith"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Emily Blunt"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Tom Hardy"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""David Fincher""}, {""job"": ""Producer"", ""name"": ""Producer 26""}]"
1015,"[{""cast_id"": 0, ""name"": ""Emily Blunt"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Gal Gadot"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Scarlett Johansson"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Natalie Portman"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Tom Hardy"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Amy Adams"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""Martin Scorsese""}, {""job"": ""Producer"", ""name"": ""Producer 10""}]"
1016,"[{""cast_id"": 0, ""name"": ""Brad Pitt"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Ryan Gosling"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Tom Hardy"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Will Smith"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Greta Gerwig""}, {""job"": ""Producer"", ""name"": ""Producer 36""}]"
1017,"[{""cast_id"": 0, ""name"": ""Angelina Jolie"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Scarlett Johansson"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Emily Blunt"", ""character"": ""Character 3""}]","[{""job"": ""Director"", ""name"": ""Coen Brothers""}, {""job"": ""Producer"", ""name"": ""Producer 25""}]"
1018,"[{""cast_id"": 0, ""name"": ""Angelina Jolie"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Robert Downey Jr"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Scarlett Johansson"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Ryan Gosling"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Tom Hardy"", ""character"": ""Character 6""}, {""cast_id"": 6, ""name"": ""Matt Damon"", ""character"": ""Character 7""}]","[{""job"": ""Director"", ""name"": ""Quentin Tarantino""}, {""job"": ""Producer"", ""name"": ""Producer 10""}]"
1019,"[{""cast_id"": 0, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Christian Bale"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Chris Evans"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Margot Robbie"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Scarlett Johansson"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""Ridley Scott""}, {""job"": ""Producer"", ""name"": ""Producer 11""}]"
1020,"[{""cast_id"": 0, ""name"": ""Matt Damon"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Will Smith"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Gal Gadot"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Scarlett Johansson"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Brad Pitt"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Martin Scorsese""}, {""job"": ""Producer"", ""name"": ""Producer 2""}]"
1021,"[{""cast_id"": 0, ""name"": ""Anne Hathaway"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Margot Robbie"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Will Smith"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Robert Downey Jr"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Brad Pitt"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Quentin Tarantino""}, {""job"": ""Producer"", ""name"": ""Producer 32""}]"
1022,"[{""cast_id"": 0, ""name"": ""Chris Evans"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Christian Bale"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 3""}]","[{""job"": ""Director"", ""name"": ""James Cameron""}, {""job"": ""Producer"", ""name"": ""Producer 9""}]"
1023,"[{""cast_id"": 0, ""name"": ""Chris Evans"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Tom Hardy"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Brad Pitt"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Christian Bale"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""Ridley Scott""}, {""job"": ""Producer"", ""name"": ""Producer 27""}]"
1024,"[{""cast_id"": 0, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Anne Hathaway"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Margot Robbie"", ""character"": ""Character 3""}]","[{""job"": ""Director"", ""name"": ""Ridley Scott""}, {""job"": ""Producer"", ""name"": ""Producer 21""}]"
1025,"[{""cast_id"": 0, ""name"": ""Chris Evans"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Angelina Jolie"", ""character"": ""Character 3""}]","[{""job"": ""Director"", ""name"": ""Quentin Tarantino""}, {""job"": ""Producer"", ""name"": ""Producer 27""}]"
1026,"[{""cast_id"": 0, ""name"": ""Brad Pitt"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Angelina Jolie"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Amy Adams"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Will Smith"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""Greta Gerwig""}, {""job"": ""Producer"", ""name"": ""Producer 29""}]"
1027,"[{""cast_id"": 0, ""name"": ""Natalie Portman"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Christian Bale"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Amy Adams"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Scarlett Johansson"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Emily Blunt"", ""character"": ""Character 6""}, {""cast_id"": 6, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 7""}]","[{""job"": ""Director"", ""name"": ""Jordan Peele""}, {""job"": ""Producer"", ""name"": ""Producer 31""}]"
1028,"[{""cast_id"": 0, ""name"": ""Anne Hathaway"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Scarlett Johansson"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Natalie Portman"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Gal Gadot"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""Christopher Nolan""}, {""job"": ""Producer"", ""name"": ""Producer 17""}]"
1029,"[{""cast_id"": 0, ""name"": ""Gal Gadot"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Brad Pitt"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Robert Downey Jr"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Emma Stone"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""Ridley Scott""}, {""job"": ""Producer"", ""name"": ""Producer 49""}]"
1030,"[{""cast_id"": 0, ""name"": ""Will Smith"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Gal Gadot"", ""character"": ""Character 3""}]","[{""job"": ""Director"", ""name"": ""Martin Scorsese""}, {""job"": ""Producer"", ""name"": ""Producer 19""}]"
1031,"[{""cast_id"": 0, ""name"": ""Matt Damon"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Robert Downey Jr"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Brad Pitt"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Gal Gadot"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""Quentin Tarantino""}, {""job"": ""Producer"", ""name"": ""Producer 40""}]"
1032,"[{""cast_id"": 0, ""name"": ""Brad Pitt"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Amy Adams"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Robert Downey Jr"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Natalie Portman"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Coen Brothers""}, {""job"": ""Producer"", ""name"": ""Producer 39""}]"
1033,"[{""cast_id"": 0, ""name"": ""Scarlett Johansson"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Tom Hardy"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Amy Adams"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""Greta Gerwig""}, {""job"": ""Producer"", ""name"": ""Producer 32""}]"
1034,"[{""cast_id"": 0, ""name"": ""Emma Stone"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Will Smith"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Anne Hathaway"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""Greta Gerwig""}, {""job"": ""Producer"", ""name"": ""Producer 6""}]"
1035,"[{""cast_id"": 0, ""name"": ""Scarlett Johansson"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Christian Bale"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Denis Villeneuve""}, {""job"": ""Producer"", ""name"": ""Producer 47""}]"
1036,"[{""cast_id"": 0, ""name"": ""Margot Robbie"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Brad Pitt"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Emily Blunt"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Scarlett Johansson"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Ryan Gosling"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""Martin Scorsese""}, {""job"": ""Producer"", ""name"": ""Producer 11""}]"
1037,"[{""cast_id"": 0, ""name"": ""Anne Hathaway"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Natalie Portman"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Scarlett Johansson"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Margot Robbie"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Coen Brothers""}, {""job"": ""Producer"", ""name"": ""Producer 43""}]"
1038,"[{""cast_id"": 0, ""name"": ""Ryan Gosling"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Matt Damon"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Tom Hardy"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""James Cameron""}, {""job"": ""Producer"", ""name"": ""Producer 17""}]"
1039,"[{""cast_id"": 0, ""name"": ""Emma Stone"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Ryan Gosling"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Will Smith"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Tom Hardy"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Amy Adams"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Robert Downey Jr"", ""character"": ""Character 6""}, {""cast_id"": 6, ""name"": ""Matt Damon"", ""character"": ""Character 7""}]","[{""job"": ""Director"", ""name"": ""Quentin Tarantino""}, {""job"": ""Producer"", ""name"": ""Producer 47""}]"
1040,"[{""cast_id"": 0, ""name"": ""Ryan Gosling"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Tom Hardy"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Anne Hathaway"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Matt Damon"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Christian Bale"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Margot Robbie"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""Martin Scorsese""}, {""job"": ""Producer"", ""name"": ""Producer 23""}]"
1041,"[{""cast_id"": 0, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Angelina Jolie"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Emma Stone"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Gal Gadot"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""Denis Villeneuve""}, {""job"": ""Producer"", ""name"": ""Producer 20""}]"
1042,"[{""cast_id"": 0, ""name"": ""Brad Pitt"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Christian Bale"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Margot Robbie"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Natalie Portman"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Steven Spielberg""}, {""job"": ""Producer"", ""name"": ""Producer 10""}]"
1043,"[{""cast_id"": 0, ""name"": ""Robert Downey Jr"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Will Smith"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Ryan Gosling"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Angelina Jolie"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""Christopher Nolan""}, {""job"": ""Producer"", ""name"": ""Producer 11""}]"
1044,"[{""cast_id"": 0, ""name"": ""Emily Blunt"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Robert Downey Jr"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Will Smith"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Christian Bale"", ""character"": ""Character 6""}]","[{""job"": ""Director"", ""name"": ""James Cameron""}, {""job"": ""Producer"", ""name"": ""Producer 49""}]"
1045,"[{""cast_id"": 0, ""name"": ""Scarlett Johansson"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Brad Pitt"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Chris Evans"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Ryan Gosling"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""Greta Gerwig""}, {""job"": ""Producer"", ""name"": ""Producer 20""}]"
1046,"[{""cast_id"": 0, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Chris Evans"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Jennifer Lawrence"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Ryan Gosling"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""Martin Scorsese""}, {""job"": ""Producer"", ""name"": ""Producer 36""}]"
1047,"[{""cast_id"": 0, ""name"": ""Tom Hardy"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Ryan Gosling"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Robert Downey Jr"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Will Smith"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Greta Gerwig""}, {""job"": ""Producer"", ""name"": ""Producer 36""}]"
1048,"[{""cast_id"": 0, ""name"": ""Gal Gadot"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Matt Damon"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Brad Pitt"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Amy Adams"", ""character"": ""Character 5""}, {""cast_id"": 5, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 6""}, {""cast_id"": 6, ""name"": ""Chris Evans"", ""character"": ""Character 7""}]","[{""job"": ""Director"", ""name"": ""Quentin Tarantino""}, {""job"": ""Producer"", ""name"": ""Producer 21""}]"
1049,"[{""cast_id"": 0, ""name"": ""Margot Robbie"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Gal Gadot"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Ryan Gosling"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Brad Pitt"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Leonardo DiCaprio"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Jordan Peele""}, {""job"": ""Producer"", ""name"": ""Producer 40""}]"
1050,"[{""cast_id"": 0, ""name"": ""Emma Stone"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Robert Downey Jr"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Will Smith"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Gal Gadot"", ""character"": ""Character 4""}, {""cast_id"": 4, ""name"": ""Scarlett Johansson"", ""character"": ""Character 5""}]","[{""job"": ""Director"", ""name"": ""Greta Gerwig""}, {""job"": ""Producer"", ""name"": ""Producer 25""}]"
1051,"[{""cast_id"": 0, ""name"": ""Robert Downey Jr"", ""character"": ""Character 1""}, {""cast_id"": 1, ""name"": ""Gal Gadot"", ""character"": ""Character 2""}, {""cast_id"": 2, ""name"": ""Jake Gyllenhaal"", ""character"": ""Character 3""}, {""cast_id"": 3, ""name"": ""Christian Bale"", ""character"": ""Character 4""}]","[{""job"": ""Director"", ""name"": ""Denis Villeneuve""}, {""job"": ""Producer"", ""name"": ""Producer 47""}]"
