launch_id,mission_name,launch_date,year,rocket_id,site_id,customer_id,payload_type,payload_mass_kg,target_orbit,outcome,landing_outcome,recovery_attempted,turnaround_days,revenue_usd,analyst_email
SX-0059,Iridium NEXT-21,2018-05-29,2018,F9-B5,LC39A,C009,Satellite - Commercial,6987,GTO,Success,Failure,True,180.0,76907796,ops-team@spacex.com
SX-0060,USSF-20,2018-05-31,2018,FH-C,LC39A,C001,Science Probe,5780,TLI,Failure,Failure,True,276.0,128010306,ops-team@spacex.com
SX-0061,Intelsat-71,2018-07-05,2018,F9-B5,LC39A,C010,Satellite - Commercial,5868,GTO,Success,Success,True,95.0,71865118,ops-team@spacex.com
SX-0062,Arabsat-65,2018-07-13,2018,F9-B5,SLC40,C012,Satellite - Commercial,5399,GEO,Success,Failure,True,157.0,85039566,ops-team@spacex.com
SX-0063,Intelsat-69,2018-08-24,2018,F9-B5,LC39A,C008,Satellite - Commercial,6011,GTO,Failure,Failure,True,268.0,70705486,ops-team@spacex.com
SX-0064,SES-30,2018-10-02,2018,FH-C,LC39A,C009,Satellite - Commercial,3956,MEO,Failure,Failure,True,231.0,89205204,ops-team@spacex.com
SX-0065,NROL-17,2018-10-10,2018,FH-C,LC39A,C008,Satellite - Commercial,3246,GEO,Success,Failure,True,278.0,129437684,ops-team@spacex.com
SX-0066,NROL-93,2018-10-23,2018,F9-B5,SLC40,C012,Satellite - Commercial,6308,GEO,Failure,Success,True,94.0,72660855,ops-team@spacex.com
SX-0067,GPS-43,2018-11-13,2018,F9-B5,LC39A,C001,Science Probe,7105,TLI,Success,Success,True,366.0,86209166,ops-team@spacex.com
SX-0068,Dragon-88,2018-11-18,2018,FH-C,LC39A,C006,Satellite - Commercial,2560,GTO,Failure,Success,True,168.0,130837641,ops-team@spacex.com
SX-0069,CRS-89,2018-12-05,2018,F9-B4,SLC40,C009,Satellite - Commercial,2823,GEO,Success,Failure,True,174.0,65327041,ops-team@spacex.com
SX-0070,AsiaSat-53,2018-12-27,2018,F9-B4,SLC40,C006,Satellite - Commercial,3192,GTO,Success,Success,True,310.0,60340508,ops-team@spacex.com
SX-0071,Arabsat-75,2019-03-25,2019,F9-B5,SLC4E,C003,Satellite - Government,3472,SSO,Success,Failure,True,94.0,67300481,ops-team@spacex.com
SX-0072,Dragon-70,2019-04-18,2019,F9-B5,LC39A,C015,Satellite - Commercial,5811,GEO,Success,Failure,True,101.0,62526936,ops-team@spacex.com
SX-0073,SES-62,,2019,F9-B5,LC39A,C009,Satellite - Commercial,4474,GTO,Success,Success,True,75.0,67451751,ops-team@spacex.com
SX-0074,NROL-73,,2019,F9-B5,LC39A,C009,Satellite - Commercial,5242,GEO,Success,Failure,True,372.0,83766095,ops-team@spacex.com
SX-0075,Dragon-25,2019-07-01,2019,F9-B5,LC39A,C015,Satellite - Commercial,4886,GTO,Success,Success,True,338.0,67856398,ops-team@spacex.com
SX-0076,OneWeb-94,2019-07-06,2019,F9-B5,SLC40,C002,Starlink Batch,16373,LEO,Success,Success,True,88.0,63017521,ops-team@spacex.com
SX-0077,AsiaSat-65,2019-07-09,2019,F9-B5,LC39A,C010,Satellite - Commercial,6418,GEO,Success,Success,True,160.0,85338749,ops-team@spacex.com
SX-0078,GPS-19,2019-07-14,2019,F9-B5,LC39A,C015,Satellite - Commercial,2943,GEO,Success,Success,True,136.0,86233238,ops-team@spacex.com
SX-0079,Intelsat-48,2019-08-21,2019,FH-C,LC39A,C010,Satellite - Commercial,6395,GTO,Success,Success,True,365.0,119994356,ops-team@spacex.com
SX-0080,Arabsat-72,2019-11-22,2019,F9-B5,LC39A,C012,Satellite - Commercial,2205,MEO,Success,Success,True,188.0,87894965,ops-team@spacex.com
SX-0081,GPS-18,2019-12-10,2019,F9-B5,LC39A,C002,Starlink Batch,15672,LEO,Failure,Success,True,44.0,88829785,ops-team@spacex.com
SX-0082,Intelsat-48,2019-12-16,2019,F9-B5,SLC40,C015,Satellite - Commercial,3111,GEO,Success,Failure,True,364.0,88923830,ops-team@spacex.com
SX-0083,NROL-89,2019-12-26,2019,FH-C,LC39A,C003,Satellite - Government,4843,SSO,Success,Failure,True,210.0,96783821,ops-team@spacex.com
SX-0084,Arabsat-83,2020-01-17,2020,F9-B5,LC39A,C002,Starlink Batch,16230,LEO,Success,Success,True,204.0,62125585,ops-team@spacex.com
SX-0085,Dragon-28,2020-01-29,2020,F9-B5,SLC40,C002,Starlink Batch,14375,LEO,Failure,Failure,True,349.0,79580711,ops-team@spacex.com
SX-0086,Crew-76,2020-02-03,2020,F9-B5,LC39A,C001,Cargo (Dragon),6625,TLI,Success,Success,True,131.0,84813547,ops-team@spacex.com
SX-0087,CRS-70,2020-02-06,2020,F9-B5,SLC4E,C006,Satellite - Commercial,4271,GTO,Success,Success,True,149.0,84375191,ops-team@spacex.com
SX-0088,CRS-34,2020-03-24,2020,F9-B5,SLC4E,C001,Science Probe,3949,LEO,Success,Failure,True,47.0,64121770,N/A
SX-0089,O3b-14,2020-03-28,2020,F9-B5,SLC40,C002,Starlink Batch,16102,LEO,Success,Failure,True,252.0,75490736,ops-team@spacex.com
SX-0090,SES-88,2020-04-18,2020,FH-C,LC39A,C001,Science Probe,2498,ISS,Success,Failure,True,76.0,108700235,ops-team@spacex.com
SX-0091,Starlink-80,2020-04-22,2020,F9-B5,SLC40,C002,Starlink Batch,14516,LEO,Success,Success,True,345.0,77948745,ops-team@spacex.com
SX-0092,GPS-84,2020-04-27,2020,F9-B5,LC39A,C013,Satellite - Government,2312,GTO,Success,Success,True,354.0,86762842,ops-team@spacex.com
SX-0093,USSF-59,2020-05-05,2020,FH-C,LC39A,C002,Starlink Batch,15388,LEO,Success,Success,True,225.0,105457948,ops-team@spacex.com
SX-0094,Arabsat-61,2020-05-17,2020,F9-B5,LC39A,C006,Satellite - Commercial,3250,MEO,Success,Success,True,55.0,63050427,ops-team@spacex.com
SX-0095,CRS-72,2020-05-18,2020,F9-B5,LC39A,C002,Starlink Batch,17325,LEO,Success,Failure,True,51.0,77981922,ops-team@spacex.com
SX-0096,NROL-37,2020-06-10,2020,FH-C,LC39A,C006,Satellite - Commercial,5464,MEO,Success,Failure,True,328.0,100938394,ops-team@spacex.com
SX-0097,OneWeb-72,2020-06-15,2020,F9-B5,SLC4E,C002,Starlink Batch,14443,LEO,Success,Success,True,209.0,63763792,ops-team@spacex.com
SX-0098,O3b-79,2020-07-13,2020,F9-B5,LC39A,C002,Starlink Batch,17352,LEO,Success,Failure,True,366.0,79677379,ops-team@spacex.com
SX-0099,OneWeb-01,2020-07-24,2020,F9-B5,SLC40,C003,Satellite - Government,4031,SSO,Success,Failure,True,113.0,86526360,TBD
SX-0100,Iridium NEXT-68,2020-08-24,2020,FH-C,LC39A,C013,Satellite - Government,1751,MEO,Success,Success,True,131.0,103720885,ops-team@spacex.com
SX-0101,GPS-07,2020-09-30,2020,F9-B5,SLC4E,C006,Satellite - Commercial,6649,MEO,Success,Failure,True,100.0,65045908,ops-team@spacex.com
SX-0102,Starlink-28,2020-10-12,2020,FH-C,LC39A,C001,Science Probe,5978,ISS,Success,Success,True,283.0,92268134,ops-team@spacex.com
SX-0103,Dragon-40,2020-10-17,2020,F9-B5,LC39A,C002,Starlink Batch,16158,LEO,Success,Success,True,44.0,66948630,ops-team@spacex.com
SX-0104,OneWeb-16,2020-11-07,2020,FH-C,LC39A,C001,Science Probe,3124,ISS,Success,Failure,True,24.0,109010869,ops-team@spacex.com
SX-0105,AsiaSat-86,2020-11-21,2020,F9-B5,SLC4E,C002,Starlink Batch,16049,LEO,Success,Failure,True,202.0,62473076,ops-team@spacex.com
SX-0106,SES-74,2020-11-23,2020,F9-B5,SLC40,C013,Satellite - Government,4064,GTO,Success,Success,True,228.0,81691393,ops-team@spacex.com
SX-0107,Intelsat-89,2020-11-27,2020,F9-B5,SLC40,C003,Satellite - Government,2907,GTO,Success,Failure,True,206.0,62957115,ops-team@spacex.com
SX-0108,USSF-40,2020-12-16,2020,F9-B5,LC39A,C002,Starlink Batch,15621,LEO,Success,Success,True,194.0,66980397,ops-team@spacex.com
SX-0109,OneWeb-45,2020-12-18,2020,F9-B5,SLC40,C002,Starlink Batch,17179,LEO,Success,Success,True,393.0,89190433,ops-team@spacex.com
SX-0110,CRS-98,2021-01-25,2021,F9-B5,SLC40,C002,Starlink Batch,16467,LEO,Success,Success,True,356.0,62571901,ops-team@spacex.com
SX-0111,OneWeb-20,2021-02-16,2021,F9-B5,LC39A,C015,Satellite - Commercial,4647,MEO,Success,Failure,True,246.0,62358830,ops-team@spacex.com
SX-0112,Starlink-60,2021-02-26,2021,F9-B5,LC39A,C002,Starlink Batch,14303,LEO,Success,Success,True,252.0,61433858,ops-team@spacex.com
SX-0113,O3b-77,2021-03-12,2021,F9-B5,SLC40,C002,Starlink Batch,14369,LEO,Success,Failure,True,280.0,71892146,ops-team@spacex.com
SX-0114,O3b-61,2021-03-13,2021,F9-B5,SLC40,C008,Satellite - Commercial,3542,GEO,Success,Failure,True,277.0,64848461,ops-team@spacex.com
SX-0115,Dragon-23,,2021,F9-B5,SLC40,C015,Satellite - Commercial,2690,MEO,Success,Failure,True,41.0,67769473,ops-team@spacex.com
SX-0116,Transporter-44,2021-03-20,2021,F9-B5,SLC4E,C015,Satellite - Commercial,5173,GEO,Success,Failure,True,368.0,78326258,ops-team@spacex.com
SX-0117,Starlink-93,2021-03-23,2021,F9-B5,LC39A,C002,Starlink Batch,15163,LEO,Success,Success,True,357.0,89376962,ops-team@spacex.com
SX-0118,OneWeb-40,2021-04-19,2021,F9-B5,LC39A,C002,Starlink Batch,17754,LEO,Success,Success,True,356.0,81359170,ops-team@spacex.com
SX-0119,OneWeb-17,2021-04-23,2021,F9-B5,SLC40,C002,Starlink Batch,17242,LEO,Success,Success,True,364.0,81490350,ops-team@spacex.com
SX-0120,CRS-28,2021-05-07,2021,F9-B5,LC39A,C002,Starlink Batch,15265,LEO,Success,Success,True,195.0,88872198,ops-team@spacex.com
SX-0121,USSF-13,2021-05-15,2021,F9-B5,SLC4E,C002,Starlink Batch,15211,LEO,Failure,Success,True,280.0,83541872,ops-team@spacex.com
SX-0122,CRS-89,2021-05-16,2021,F9-B5,LC39A,C001,Cargo (Dragon),6892,LEO,Success,Success,True,340.0,84692668,ops-team@spacex.com
SX-0123,O3b-37,2021-06-11,2021,F9-B5,SLC40,C015,Satellite - Commercial,3945,GEO,Success,Success,True,250.0,67355188,ops-team@spacex.com
SX-0124,O3b-57,2021-07-05,2021,F9-B5,LC39A,C002,Starlink Batch,16778,LEO,Failure,Success,True,257.0,83498572,ops-team@spacex.com
SX-0125,USSF-33,2021-07-22,2021,F9-B5,LC39A,C008,Satellite - Commercial,6953,GTO,Failure,Failure,True,47.0,79631547,ops-team@spacex.com
SX-0126,GPS-98,2021-07-24,2021,F9-B5,SLC40,C008,Satellite - Commercial,3021,GEO,Success,Success,True,103.0,68524657,ops-team@spacex.com
SX-0127,Intelsat-45,2021-08-05,2021,F9-B5,LC39A,C002,Starlink Batch,17345,LEO,Success,Failure,True,34.0,72809141,ops-team@spacex.com
SX-0128,NROL-41,2021-08-08,2021,F9-B5,LC39A,C008,Satellite - Commercial,5071,GTO,Success,Failure,True,71.0,85601165,ops-team@spacex.com
SX-0129,Iridium NEXT-18,2021-08-23,2021,F9-B5,SLC4E,C002,Starlink Batch,15935,LEO,Success,Failure,True,382.0,74443670,ops-team@spacex.com
SX-0130,O3b-68,2021-09-10,2021,F9-B5,SLC40,C001,Science Probe,3224,TLI,Success,Success,True,237.0,63652283,ops-team@spacex.com
SX-0131,Transporter-80,2021-09-13,2021,F9-B5,LC39A,C002,Starlink Batch,16617,LEO,Success,Success,True,255.0,62193635,ops-team@spacex.com
SX-0132,SES-01,2021-09-18,2021,F9-B5,SLC40,C008,Satellite - Commercial,3176,GEO,Success,Success,True,335.0,70937403,ops-team@spacex.com
SX-0133,AsiaSat-70,2021-10-03,2021,F9-B5,SLC4E,C013,Satellite - Government,4454,MEO,Success,Success,True,280.0,84010331,ops-team@spacex.com
SX-0134,Starlink-96,2021-10-15,2021,F9-B5,SLC40,C008,Satellite - Commercial,5169,GEO,Success,Success,True,29.0,71066380,ops-team@spacex.com
SX-0135,NROL-46,2021-10-26,2021,F9-B5,SLC4E,C003,Satellite - Government,4223,MEO,Success,Success,True,300.0,70507199,ops-team@spacex.com
SX-0136,Transporter-59,2021-10-27,2021,F9-B5,LC39A,C015,Satellite - Commercial,2516,MEO,Success,Failure,True,39.0,69147293,ops-team@spacex.com
SX-0137,USSF-70,2021-11-18,2021,F9-B5,SLC40,C002,Starlink Batch,15631,LEO,Success,Success,True,263.0,67937410,ops-team@spacex.com
SX-0138,OneWeb-35,2021-11-26,2021,F9-B5,LC39A,C002,Starlink Batch,16685,LEO,Success,Success,True,84.0,84400173,ops-team@spacex.com
SX-0139,Iridium NEXT-64,2021-12-02,2021,F9-B5,LC39A,C013,Satellite - Government,3030,SSO,Success,Success,True,209.0,88167960,ops-team@spacex.com
SX-0140,USSF-24,2021-12-15,2021,F9-B5,SLC40,C002,Starlink Batch,16467,LEO,Success,Success,True,300.0,69157057,TBD
SX-0141,Iridium NEXT-55,2022-01-01,2022,F9-B5,LC39A,C002,Starlink Batch,16468,LEO,Success,Success,True,106.0,81096408,ops-team@spacex.com
SX-0142,Dragon-08,2022-01-02,2022,F9-B5,SLC40,C013,Satellite - Government,5063,SSO,Success,Failure,True,59.0,80536194,ops-team@spacex.com
SX-0143,Dragon-57,2022-01-06,2022,F9-B5,SLC4E,C002,Starlink Batch,16488,LEO,Failure,Success,True,38.0,64105835,ops-team@spacex.com
SX-0144,CRS-87,2022-01-10,2022,F9-B5,LC39A,C012,Satellite - Commercial,2265,MEO,Success,Failure,True,251.0,88907029,ops-team@spacex.com
SX-0145,Dragon-36,2022-01-30,2022,F9-B5,SLC40,C013,Satellite - Government,4760,SSO,Success,Success,True,148.0,89259679,ops-team@spacex.com
SX-0146,Starlink-34,2022-02-02,2022,F9-B5,LC39A,C002,Starlink Batch,14482,LEO,Success,Failure,True,381.0,73755134,ops-team@spacex.com
SX-0147,Intelsat-23,2022-02-05,2022,F9-B5,LC39A,C002,Starlink Batch,14303,LEO,Success,Success,True,386.0,73720102,ops-team@spacex.com
SX-0148,Starlink-39,2022-02-10,2022,F9-B5,LC39A,C012,Satellite - Commercial,6505,MEO,Success,Success,True,101.0,81761044,ops-team@spacex.com
SX-0149,Transporter-18,2022-02-13,2022,FH-C,LC39A,C012,Satellite - Commercial,2994,GTO,Success,Success,True,142.0,121799784,ops-team@spacex.com
SX-0150,O3b-12,2022-02-24,2022,F9-B5,LC39A,C002,Starlink Batch,14531,LEO,Success,Failure,True,54.0,69625115,ops-team@spacex.com
SX-0151,OneWeb-83,2022-02-27,2022,FH-C,LC39A,C013,Satellite - Government,2104,MEO,Success,Success,True,58.0,106941386,ops-team@spacex.com
SX-0152,O3b-24,2022-02-27,2022,FH-C,LC39A,C015,Satellite - Commercial,6516,MEO,Success,Success,True,87.0,106183788,ops-team@spacex.com
SX-0153,Iridium NEXT-29,2022-02-28,2022,F9-B5,SLC4E,C002,Starlink Batch,17828,LEO,Success,Success,True,198.0,88866616,ops-team@spacex.com
SX-0154,Starlink-17,2022-03-06,2022,F9-B5,SLC40,C002,Starlink Batch,16256,LEO,Success,Success,True,341.0,69430161,ops-team@spacex.com
SX-0155,Dragon-80,2022-03-07,2022,F9-B5,SLC4E,C002,Starlink Batch,14701,LEO,Success,Success,True,389.0,87495326,ops-team@spacex.com
SX-0156,Transporter-74,2022-03-20,2022,F9-B5,SLC40,C008,Satellite - Commercial,2372,MEO,TBD,Success,True,156.0,79931568,ops-team@spacex.com
SX-0157,Starlink-62,2022-03-22,2022,F9-B5,SLC40,C003,Satellite - Government,3872,GTO,Success,Success,True,146.0,84561347,ops-team@spacex.com
SX-0158,SES-62,,2022,FH-C,LC39A,C003,Satellite - Government,2794,SSO,Success,Success,True,258.0,96205604,ops-team@spacex.com
SX-0159,OneWeb-52,2022-04-02,2022,F9-B5,LC39A,C002,Starlink Batch,17525,LEO,Success,Success,True,87.0,83234049,ops-team@spacex.com
SX-0160,Crew-19,2022-04-12,2022,F9-B5,SLC40,C015,Satellite - Commercial,4191,GEO,Success,Success,True,70.0,61825749,ops-team@spacex.com
SX-0161,Arabsat-74,2022-05-03,2022,F9-B5,LC39A,C008,Satellite - Commercial,3308,GEO,Success,Failure,True,390.0,69728354,ops-team@spacex.com
SX-0162,SES-65,2022-05-04,2022,F9-B5,LC39A,C013,Satellite - Government,1689,MEO,Success,Success,True,255.0,89445601,ops-team@spacex.com
SX-0163,Dragon-61,2022-05-09,2022,F9-B5,LC39A,C008,Satellite - Commercial,6894,MEO,Success,Success,True,167.0,76481226,ops-team@spacex.com
SX-0164,NROL-52,2022-05-15,2022,F9-B5,SLC4E,C003,Satellite - Government,4803,SSO,Success,Success,True,47.0,77493991,ops-team@spacex.com
SX-0165,AsiaSat-36,2022-05-17,2022,F9-B5,LC39A,C002,Starlink Batch,17130,LEO,Success,Success,True,340.0,80814018,ops-team@spacex.com
SX-0166,AsiaSat-47,2022-05-31,2022,F9-B5,SLC40,C002,Starlink Batch,15388,LEO,Success,Success,True,94.0,66301595,ops-team@spacex.com
SX-0167,AsiaSat-59,2022-06-02,2022,F9-B5,SLC40,C003,Satellite - Government,4228,SSO,Success,Success,True,97.0,78578754,ops-team@spacex.com
SX-0168,O3b-95,2022-06-07,2022,F9-B5,LC39A,C002,Starlink Batch,15609,LEO,Failure,Success,True,174.0,78200798,ops-team@spacex.com
SX-0169,OneWeb-87,2022-06-15,2022,F9-B5,LC39A,C015,Satellite - Commercial,2136,GEO,Success,Success,True,77.0,89843925,ops-team@spacex.com
SX-0170,Transporter-75,2022-06-24,2022,F9-B5,SLC40,C002,Starlink Batch,16685,LEO,Success,Success,True,316.0,67160428,ops-team@spacex.com
SX-0171,USSF-88,2022-07-05,2022,F9-B5,LC39A,C008,Satellite - Commercial,5114,GTO,Success,Success,True,145.0,61251850,ops-team@spacex.com
SX-0172,SES-89,2022-07-11,2022,FH-C,LC39A,C002,Starlink Batch,14620,LEO,Success,Success,True,125.0,105212973,ops-team@spacex.com
