Date,Currency_Code,Currency_Name,Country,Rate_to_EUR
2024-01-04,CZK,Czech Koruna,Czech Republic,25.5248
2024-01-04,HUF,Hungarian Forint,Hungary,390.3784
2024-01-04,RON,Romanian Leu,Romania,5.0095
2024-01-04,HRK,Croatian Kuna,Croatia,7.5903
2024-01-04,CHF,Swiss Franc,Switzerland,0.942
2024-01-04,GBP,British Pound,United Kingdom,0.8389
2024-01-04,USD,US Dollar,United States,1.1017
2024-01-05,EUR,Euro,Eurozone,0.9892
2024-01-05,SEK,Swedish Krona,Sweden,11.0384
2024-01-05,NOK,Norwegian Krone,Norway,11.2609
2024-01-05,DKK,Danish Krone,Denmark,7.5007
2024-01-05,PLN,Polish Zloty,Poland,4.366
2024-01-05,CZK,Czech Koruna,Czech Republic,24.4497
2024-01-05,HUF,Hungarian Forint,Hungary,393.7855
2024-01-05,RON,Romanian Leu,Romania,4.8884
2024-01-05,HRK,Croatian Kuna,Croatia,7.5956
2024-01-05,CHF,Swiss Franc,Switzerland,0.9216
2024-01-05,GBP,British Pound,United Kingdom,0.8699
2024-01-05,USD,US Dollar,United States,1.0727
2024-01-08,EUR,Euro,Eurozone,1.0262
2024-01-08,SEK,Swedish Krona,Sweden,11.0053
2024-01-08,NOK,Norwegian Krone,Norway,11.4696
2024-01-08,DKK,Danish Krone,Denmark,7.287
2024-01-08,PLN,Polish Zloty,Poland,4.4301
2024-01-08,CZK,Czech Koruna,Czech Republic,25.7501
2024-01-08,HUF,Hungarian Forint,Hungary,387.785
2024-01-08,RON,Romanian Leu,Romania,5.0177
2024-01-08,HRK,Croatian Kuna,Croatia,7.6733
2024-01-08,CHF,Swiss Franc,Switzerland,0.9431
2024-01-08,GBP,British Pound,United Kingdom,0.8615
2024-01-08,USD,US Dollar,United States,1.0633
2024-01-09,EUR,Euro,Eurozone,0.9756
2024-01-09,SEK,Swedish Krona,Sweden,11.5181
2024-01-09,NOK,Norwegian Krone,Norway,11.8582
2024-01-09,DKK,Danish Krone,Denmark,7.5196
2024-01-09,PLN,Polish Zloty,Poland,4.2783
2024-01-09,CZK,Czech Koruna,Czech Republic,24.9522
2024-01-09,HUF,Hungarian Forint,Hungary,398.8348
2024-01-09,RON,Romanian Leu,Romania,5.0884
2024-01-09,HRK,Croatian Kuna,Croatia,7.7049
2024-01-09,CHF,Swiss Franc,Switzerland,0.9558
2024-01-09,GBP,British Pound,United Kingdom,0.8673
2024-01-09,USD,US Dollar,United States,1.0531
2024-01-10,EUR,Euro,Eurozone,0.9797
2024-01-10,SEK,Swedish Krona,Sweden,11.519
2024-01-10,NOK,Norwegian Krone,Norway,11.6539
2024-01-10,DKK,Danish Krone,Denmark,7.2403
2024-01-10,PLN,Polish Zloty,Poland,4.2167
2024-01-10,CZK,Czech Koruna,Czech Republic,25.427
2024-01-10,HUF,Hungarian Forint,Hungary,381.8145
2024-01-10,RON,Romanian Leu,Romania,4.8689
2024-01-10,HRK,Croatian Kuna,Croatia,7.552
2024-01-10,CHF,Swiss Franc,Switzerland,0.9508
2024-01-10,GBP,British Pound,United Kingdom,0.8678
2024-01-10,USD,US Dollar,United States,1.0621
2024-01-11,EUR,Euro,Eurozone,1.0127
2024-01-11,SEK,Swedish Krona,Sweden,11.0726
2024-01-11,NOK,Norwegian Krone,Norway,11.4587
2024-01-11,DKK,Danish Krone,Denmark,7.5703
2024-01-11,PLN,Polish Zloty,Poland,4.3588
2024-01-11,CZK,Czech Koruna,Czech Republic,25.7076
2024-01-11,HUF,Hungarian Forint,Hungary,397.2212
2024-01-11,RON,Romanian Leu,Romania,4.9904
2024-01-11,HRK,Croatian Kuna,Croatia,7.3464
2024-01-11,CHF,Swiss Franc,Switzerland,0.9325
2024-01-11,GBP,British Pound,United Kingdom,0.8479
2024-01-11,USD,US Dollar,United States,1.0634
2024-01-12,EUR,Euro,Eurozone,1.0284
2024-01-12,SEK,Swedish Krona,Sweden,11.1778
2024-01-12,NOK,Norwegian Krone,Norway,11.8524
2024-01-12,DKK,Danish Krone,Denmark,7.5187
2024-01-12,PLN,Polish Zloty,Poland,4.3964
2024-01-12,CZK,Czech Koruna,Czech Republic,25.184
2024-01-12,HUF,Hungarian Forint,Hungary,395.3157
2024-01-12,RON,Romanian Leu,Romania,4.9678
2024-01-12,HRK,Croatian Kuna,Croatia,7.3923
2024-01-12,CHF,Swiss Franc,Switzerland,0.9525
2024-01-12,GBP,British Pound,United Kingdom,0.8487
2024-01-12,USD,US Dollar,United States,1.0492
2024-01-15,EUR,Euro,Eurozone,1.0087
2024-01-15,SEK,Swedish Krona,Sweden,11.032
2024-01-15,NOK,Norwegian Krone,Norway,11.886
2024-01-15,DKK,Danish Krone,Denmark,7.6632
2024-01-15,PLN,Polish Zloty,Poland,4.4275
2024-01-15,CZK,Czech Koruna,Czech Republic,24.9838
2024-01-15,HUF,Hungarian Forint,Hungary,382.0599
2024-01-15,RON,Romanian Leu,Romania,5.0977
2024-01-15,HRK,Croatian Kuna,Croatia,7.4976
2024-01-15,CHF,Swiss Franc,Switzerland,0.9663
2024-01-15,GBP,British Pound,United Kingdom,0.8839
2024-01-15,USD,US Dollar,United States,1.1029
2024-01-16,EUR,Euro,Eurozone,0.9877
2024-01-16,SEK,Swedish Krona,Sweden,11.1724
2024-01-16,NOK,Norwegian Krone,Norway,11.824
2024-01-16,DKK,Danish Krone,Denmark,7.3781
2024-01-16,PLN,Polish Zloty,Poland,4.2343
2024-01-16,CZK,Czech Koruna,Czech Republic,25.2658
2024-01-16,HUF,Hungarian Forint,Hungary,403.7976
2024-01-16,RON,Romanian Leu,Romania,5.0285
2024-01-16,HRK,Croatian Kuna,Croatia,7.5617
2024-01-16,CHF,Swiss Franc,Switzerland,0.9173
2024-01-16,GBP,British Pound,United Kingdom,0.8659
2024-01-16,USD,US Dollar,United States,1.1118
2024-01-17,EUR,Euro,Eurozone,0.9784
2024-01-17,SEK,Swedish Krona,Sweden,11.2624
2024-01-17,NOK,Norwegian Krone,Norway,11.8422
2024-01-17,DKK,Danish Krone,Denmark,7.5678
2024-01-17,PLN,Polish Zloty,Poland,4.3711
2024-01-17,CZK,Czech Koruna,Czech Republic,25.4859
2024-01-17,HUF,Hungarian Forint,Hungary,390.1826
2024-01-17,RON,Romanian Leu,Romania,4.9084
2024-01-17,HRK,Croatian Kuna,Croatia,7.6698
2024-01-17,CHF,Swiss Franc,Switzerland,0.9575
2024-01-17,GBP,British Pound,United Kingdom,0.8789
2024-01-17,USD,US Dollar,United States,1.1068
2024-01-18,EUR,Euro,Eurozone,1.0007
2024-01-18,SEK,Swedish Krona,Sweden,11.251
2024-01-18,NOK,Norwegian Krone,Norway,11.7873
2024-01-18,DKK,Danish Krone,Denmark,7.5271
2024-01-18,PLN,Polish Zloty,Poland,4.3723
2024-01-18,CZK,Czech Koruna,Czech Republic,25.6269
2024-01-18,HUF,Hungarian Forint,Hungary,402.708
2024-01-18,RON,Romanian Leu,Romania,4.9217
2024-01-18,HRK,Croatian Kuna,Croatia,7.4738
2024-01-18,CHF,Swiss Franc,Switzerland,0.9171
2024-01-18,GBP,British Pound,United Kingdom,0.864
2024-01-18,USD,US Dollar,United States,1.0499
2024-01-19,EUR,Euro,Eurozone,0.9979
2024-01-19,SEK,Swedish Krona,Sweden,11.2788
2024-01-19,NOK,Norwegian Krone,Norway,11.4317
2024-01-19,DKK,Danish Krone,Denmark,7.5007
2024-01-19,PLN,Polish Zloty,Poland,4.1983
2024-01-19,CZK,Czech Koruna,Czech Republic,24.481
2024-01-19,HUF,Hungarian Forint,Hungary,401.1166
2024-01-19,RON,Romanian Leu,Romania,4.9283
2024-01-19,HRK,Croatian Kuna,Croatia,7.3615
2024-01-19,CHF,Swiss Franc,Switzerland,0.9413
2024-01-19,GBP,British Pound,United Kingdom,0.8739
2024-01-19,USD,US Dollar,United States,1.0616
2024-01-22,EUR,Euro,Eurozone,1.0074
2024-01-22,SEK,Swedish Krona,Sweden,10.9701
2024-01-22,NOK,Norwegian Krone,Norway,11.2685
2024-01-22,DKK,Danish Krone,Denmark,7.474
2024-01-22,PLN,Polish Zloty,Poland,4.3305
2024-01-22,CZK,Czech Koruna,Czech Republic,25.3876
2024-01-22,HUF,Hungarian Forint,Hungary,398.838
2024-01-22,RON,Romanian Leu,Romania,5.1119
2024-01-22,HRK,Croatian Kuna,Croatia,7.5374
2024-01-22,CHF,Swiss Franc,Switzerland,0.93
2024-01-22,GBP,British Pound,United Kingdom,0.8752
2024-01-22,USD,US Dollar,United States,1.0651
2024-01-23,EUR,Euro,Eurozone,0.9963
2024-01-23,SEK,Swedish Krona,Sweden,10.9655
2024-01-23,NOK,Norwegian Krone,Norway,11.2502
2024-01-23,DKK,Danish Krone,Denmark,7.6671
2024-01-23,PLN,Polish Zloty,Poland,4.4071
2024-01-23,CZK,Czech Koruna,Czech Republic,25.4761
2024-01-23,HUF,Hungarian Forint,Hungary,391.3504
2024-01-23,RON,Romanian Leu,Romania,4.8726
2024-01-23,HRK,Croatian Kuna,Croatia,7.3748
2024-01-23,CHF,Swiss Franc,Switzerland,0.9259
2024-01-23,GBP,British Pound,United Kingdom,0.8625
2024-01-23,USD,US Dollar,United States,1.0939
2024-01-24,EUR,Euro,Eurozone,1.0096
2024-01-24,SEK,Swedish Krona,Sweden,11.1015
2024-01-24,NOK,Norwegian Krone,Norway,11.896
2024-01-24,DKK,Danish Krone,Denmark,7.5665
2024-01-24,PLN,Polish Zloty,Poland,4.3341
2024-01-24,CZK,Czech Koruna,Czech Republic,25.3488
2024-01-24,HUF,Hungarian Forint,Hungary,391.6018
2024-01-24,RON,Romanian Leu,Romania,4.8948
2024-01-24,HRK,Croatian Kuna,Croatia,7.4649
2024-01-24,CHF,Swiss Franc,Switzerland,0.9545
2024-01-24,GBP,British Pound,United Kingdom,0.8349
2024-01-24,USD,US Dollar,United States,1.0551
2024-01-25,EUR,Euro,Eurozone,0.9728
2024-01-25,SEK,Swedish Krona,Sweden,10.94
2024-01-25,NOK,Norwegian Krone,Norway,11.827
2024-01-25,DKK,Danish Krone,Denmark,7.5512
2024-01-25,PLN,Polish Zloty,Poland,4.3133
2024-01-25,CZK,Czech Koruna,Czech Republic,24.5724
2024-01-25,HUF,Hungarian Forint,Hungary,393.3021
2024-01-25,RON,Romanian Leu,Romania,4.9621
2024-01-25,HRK,Croatian Kuna,Croatia,7.3824
2024-01-25,CHF,Swiss Franc,Switzerland,0.9363
2024-01-25,GBP,British Pound,United Kingdom,0.8548
2024-01-25,USD,US Dollar,United States,1.0875
2024-01-26,EUR,Euro,Eurozone,1.0081
2024-01-26,SEK,Swedish Krona,Sweden,10.9431
2024-01-26,NOK,Norwegian Krone,Norway,11.4929
2024-01-26,DKK,Danish Krone,Denmark,7.5163
2024-01-26,PLN,Polish Zloty,Poland,4.3208
2024-01-26,CZK,Czech Koruna,Czech Republic,25.7186
2024-01-26,HUF,Hungarian Forint,Hungary,397.2468
2024-01-26,RON,Romanian Leu,Romania,4.8695
2024-01-26,HRK,Croatian Kuna,Croatia,7.336
2024-01-26,CHF,Swiss Franc,Switzerland,0.948
2024-01-26,GBP,British Pound,United Kingdom,0.8356
2024-01-26,USD,US Dollar,United States,1.0856
2024-01-29,EUR,Euro,Eurozone,1.0264
2024-01-29,SEK,Swedish Krona,Sweden,11.3009
2024-01-29,NOK,Norwegian Krone,Norway,11.5023
2024-01-29,DKK,Danish Krone,Denmark,7.5241
2024-01-29,PLN,Polish Zloty,Poland,4.3092
2024-01-29,CZK,Czech Koruna,Czech Republic,25.2489
2024-01-29,HUF,Hungarian Forint,Hungary,403.923
2024-01-29,RON,Romanian Leu,Romania,4.936
2024-01-29,HRK,Croatian Kuna,Croatia,7.7384
2024-01-29,CHF,Swiss Franc,Switzerland,0.9629
2024-01-29,GBP,British Pound,United Kingdom,0.8443
2024-01-29,USD,US Dollar,United States,1.0521
2024-01-30,EUR,Euro,Eurozone,0.976
2024-01-30,SEK,Swedish Krona,Sweden,10.9248
2024-01-30,NOK,Norwegian Krone,Norway,11.2982
2024-01-30,DKK,Danish Krone,Denmark,7.5419
2024-01-30,PLN,Polish Zloty,Poland,4.2089
2024-01-30,CZK,Czech Koruna,Czech Republic,24.9065
2024-01-30,HUF,Hungarian Forint,Hungary,401.6425
2024-01-30,RON,Romanian Leu,Romania,4.8278
2024-01-30,HRK,Croatian Kuna,Croatia,7.6721
2024-01-30,CHF,Swiss Franc,Switzerland,0.9277
2024-01-30,GBP,British Pound,United Kingdom,0.8403
2024-01-30,USD,US Dollar,United States,1.0927
2024-01-31,EUR,Euro,Eurozone,1.0077
2024-01-31,SEK,Swedish Krona,Sweden,11.5048
2024-01-31,NOK,Norwegian Krone,Norway,11.7433
2024-01-31,DKK,Danish Krone,Denmark,7.5958
2024-01-31,PLN,Polish Zloty,Poland,4.2635
2024-01-31,CZK,Czech Koruna,Czech Republic,24.6927
2024-01-31,HUF,Hungarian Forint,Hungary,399.417
2024-01-31,RON,Romanian Leu,Romania,5.0615
2024-01-31,HRK,Croatian Kuna,Croatia,7.7516
2024-01-31,CHF,Swiss Franc,Switzerland,0.9351
2024-01-31,GBP,British Pound,United Kingdom,0.8534
2024-01-31,USD,US Dollar,United States,1.0979
2024-02-01,EUR,Euro,Eurozone,0.9904
2024-02-01,SEK,Swedish Krona,Sweden,11.5408
2024-02-01,NOK,Norwegian Krone,Norway,11.829
2024-02-01,DKK,Danish Krone,Denmark,7.4282
2024-02-01,PLN,Polish Zloty,Poland,4.385
2024-02-01,CZK,Czech Koruna,Czech Republic,25.5646
2024-02-01,HUF,Hungarian Forint,Hungary,384.1298
2024-02-01,RON,Romanian Leu,Romania,5.09
2024-02-01,HRK,Croatian Kuna,Croatia,7.5324
2024-02-01,CHF,Swiss Franc,Switzerland,0.9584
2024-02-01,GBP,British Pound,United Kingdom,0.8507
2024-02-01,USD,US Dollar,United States,1.1056
2024-02-02,EUR,Euro,Eurozone,0.9934
2024-02-02,SEK,Swedish Krona,Sweden,10.9198
2024-02-02,NOK,Norwegian Krone,Norway,11.8617
2024-02-02,DKK,Danish Krone,Denmark,7.2771
2024-02-02,PLN,Polish Zloty,Poland,4.2732
2024-02-02,CZK,Czech Koruna,Czech Republic,25.86
2024-02-02,HUF,Hungarian Forint,Hungary,404.1388
2024-02-02,RON,Romanian Leu,Romania,4.9919
2024-02-02,HRK,Croatian Kuna,Croatia,7.5896
2024-02-02,CHF,Swiss Franc,Switzerland,0.9371
2024-02-02,GBP,British Pound,United Kingdom,0.8493
2024-02-02,USD,US Dollar,United States,1.0689
2024-02-05,EUR,Euro,Eurozone,1.0104
2024-02-05,SEK,Swedish Krona,Sweden,11.4204
2024-02-05,NOK,Norwegian Krone,Norway,11.7826
2024-02-05,DKK,Danish Krone,Denmark,7.5896
2024-02-05,PLN,Polish Zloty,Poland,4.214
2024-02-05,CZK,Czech Koruna,Czech Republic,25.1716
2024-02-05,HUF,Hungarian Forint,Hungary,383.054
2024-02-05,RON,Romanian Leu,Romania,4.9848
2024-02-05,HRK,Croatian Kuna,Croatia,7.5036
2024-02-05,CHF,Swiss Franc,Switzerland,0.9619
2024-02-05,GBP,British Pound,United Kingdom,0.8523
2024-02-05,USD,US Dollar,United States,1.0552
2024-02-06,EUR,Euro,Eurozone,0.9786
2024-02-06,SEK,Swedish Krona,Sweden,11.4265
2024-02-06,NOK,Norwegian Krone,Norway,11.6621
2024-02-06,DKK,Danish Krone,Denmark,7.2815
2024-02-06,PLN,Polish Zloty,Poland,4.2122
2024-02-06,CZK,Czech Koruna,Czech Republic,25.4836
2024-02-06,HUF,Hungarian Forint,Hungary,383.4129
2024-02-06,RON,Romanian Leu,Romania,5.066
2024-02-06,HRK,Croatian Kuna,Croatia,7.6232
2024-02-06,CHF,Swiss Franc,Switzerland,0.9164
2024-02-06,GBP,British Pound,United Kingdom,0.8386
2024-02-06,USD,US Dollar,United States,1.1115
2024-02-07,EUR,Euro,Eurozone,0.9925
2024-02-07,SEK,Swedish Krona,Sweden,11.1627
2024-02-07,NOK,Norwegian Krone,Norway,11.7973
2024-02-07,DKK,Danish Krone,Denmark,7.6602
2024-02-07,PLN,Polish Zloty,Poland,4.446
2024-02-07,CZK,Czech Koruna,Czech Republic,25.5628
2024-02-07,HUF,Hungarian Forint,Hungary,390.5785
2024-02-07,RON,Romanian Leu,Romania,4.8458
2024-02-07,HRK,Croatian Kuna,Croatia,7.6552
2024-02-07,CHF,Swiss Franc,Switzerland,0.9433
2024-02-07,GBP,British Pound,United Kingdom,0.8561
2024-02-07,USD,US Dollar,United States,1.1063
2024-02-08,EUR,Euro,Eurozone,0.9767
2024-02-08,SEK,Swedish Krona,Sweden,11.245
2024-02-08,NOK,Norwegian Krone,Norway,11.2405
2024-02-08,DKK,Danish Krone,Denmark,7.446
2024-02-08,PLN,Polish Zloty,Poland,4.205
2024-02-08,CZK,Czech Koruna,Czech Republic,24.6041
2024-02-08,HUF,Hungarian Forint,Hungary,384.4698
2024-02-08,RON,Romanian Leu,Romania,5.0145
2024-02-08,HRK,Croatian Kuna,Croatia,7.6412
2024-02-08,CHF,Swiss Franc,Switzerland,0.9447
2024-02-08,GBP,British Pound,United Kingdom,0.8838
2024-02-08,USD,US Dollar,United States,1.0719
2024-02-09,EUR,Euro,Eurozone,0.9871
2024-02-09,SEK,Swedish Krona,Sweden,11.4988
2024-02-09,NOK,Norwegian Krone,Norway,11.388
2024-02-09,DKK,Danish Krone,Denmark,7.6673
2024-02-09,PLN,Polish Zloty,Poland,4.1936
2024-02-09,CZK,Czech Koruna,Czech Republic,25.8899
2024-02-09,HUF,Hungarian Forint,Hungary,382.714
2024-02-09,RON,Romanian Leu,Romania,5.0866
2024-02-09,HRK,Croatian Kuna,Croatia,7.5425
2024-02-09,CHF,Swiss Franc,Switzerland,0.9678
2024-02-09,GBP,British Pound,United Kingdom,0.838
2024-02-09,USD,US Dollar,United States,1.0835
2024-02-12,EUR,Euro,Eurozone,1.0282
2024-02-12,SEK,Swedish Krona,Sweden,11.2656
2024-02-12,NOK,Norwegian Krone,Norway,11.6699
2024-02-12,DKK,Danish Krone,Denmark,7.5476
2024-02-12,PLN,Polish Zloty,Poland,4.3082
2024-02-12,CZK,Czech Koruna,Czech Republic,25.3727
2024-02-12,HUF,Hungarian Forint,Hungary,395.4907
2024-02-12,RON,Romanian Leu,Romania,5.0896
2024-02-12,HRK,Croatian Kuna,Croatia,7.3246
2024-02-12,CHF,Swiss Franc,Switzerland,0.9276
2024-02-12,GBP,British Pound,United Kingdom,0.8832
2024-02-12,USD,US Dollar,United States,1.1053
2024-02-13,EUR,Euro,Eurozone,0.9973
2024-02-13,SEK,Swedish Krona,Sweden,11.3311
2024-02-13,NOK,Norwegian Krone,Norway,11.4253
2024-02-13,DKK,Danish Krone,Denmark,7.3204
2024-02-13,PLN,Polish Zloty,Poland,4.3106
2024-02-13,CZK,Czech Koruna,Czech Republic,24.9584
2024-02-13,HUF,Hungarian Forint,Hungary,395.4751
2024-02-13,RON,Romanian Leu,Romania,4.8441
2024-02-13,HRK,Croatian Kuna,Croatia,7.7443
2024-02-13,CHF,Swiss Franc,Switzerland,0.9674
2024-02-13,GBP,British Pound,United Kingdom,0.8702
2024-02-13,USD,US Dollar,United States,1.0823
2024-02-14,EUR,Euro,Eurozone,0.9886
2024-02-14,SEK,Swedish Krona,Sweden,11.4618
2024-02-14,NOK,Norwegian Krone,Norway,11.7084
2024-02-14,DKK,Danish Krone,Denmark,7.309
2024-02-14,PLN,Polish Zloty,Poland,4.4265
2024-02-14,CZK,Czech Koruna,Czech Republic,25.6673
2024-02-14,HUF,Hungarian Forint,Hungary,404.1198
2024-02-14,RON,Romanian Leu,Romania,5.0373
2024-02-14,HRK,Croatian Kuna,Croatia,7.5812
2024-02-14,CHF,Swiss Franc,Switzerland,0.9354
2024-02-14,GBP,British Pound,United Kingdom,0.8823
2024-02-14,USD,US Dollar,United States,1.1037
2024-02-15,EUR,Euro,Eurozone,0.9727
2024-02-15,SEK,Swedish Krona,Sweden,10.9303
2024-02-15,NOK,Norwegian Krone,Norway,11.4942
2024-02-15,DKK,Danish Krone,Denmark,7.599
2024-02-15,PLN,Polish Zloty,Poland,4.4463
2024-02-15,CZK,Czech Koruna,Czech Republic,24.6518
2024-02-15,HUF,Hungarian Forint,Hungary,395.7224
2024-02-15,RON,Romanian Leu,Romania,4.9345
2024-02-15,HRK,Croatian Kuna,Croatia,7.7423
2024-02-15,CHF,Swiss Franc,Switzerland,0.9593
2024-02-15,GBP,British Pound,United Kingdom,0.8775
2024-02-15,USD,US Dollar,United States,1.078
2024-02-16,EUR,Euro,Eurozone,0.9949
2024-02-16,SEK,Swedish Krona,Sweden,11.097
2024-02-16,NOK,Norwegian Krone,Norway,11.2718
2024-02-16,DKK,Danish Krone,Denmark,7.6232
2024-02-16,PLN,Polish Zloty,Poland,4.4011
2024-02-16,CZK,Czech Koruna,Czech Republic,25.935
2024-02-16,HUF,Hungarian Forint,Hungary,405.2256
2024-02-16,RON,Romanian Leu,Romania,4.9865
2024-02-16,HRK,Croatian Kuna,Croatia,7.6515
2024-02-16,CHF,Swiss Franc,Switzerland,0.9651
2024-02-16,GBP,British Pound,United Kingdom,0.878
2024-02-16,USD,US Dollar,United States,1.0636
2024-02-19,EUR,Euro,Eurozone,0.997
2024-02-19,SEK,Swedish Krona,Sweden,10.9997
2024-02-19,NOK,Norwegian Krone,Norway,11.8955
2024-02-19,DKK,Danish Krone,Denmark,7.5075
2024-02-19,PLN,Polish Zloty,Poland,4.2497
2024-02-19,CZK,Czech Koruna,Czech Republic,25.4394
2024-02-19,HUF,Hungarian Forint,Hungary,396.289
2024-02-19,RON,Romanian Leu,Romania,4.9277
2024-02-19,HRK,Croatian Kuna,Croatia,7.3554
2024-02-19,CHF,Swiss Franc,Switzerland,0.9497
2024-02-19,GBP,British Pound,United Kingdom,0.861
2024-02-19,USD,US Dollar,United States,1.0976
2024-02-20,EUR,Euro,Eurozone,1.0012
2024-02-20,SEK,Swedish Krona,Sweden,11.4877
2024-02-20,NOK,Norwegian Krone,Norway,11.6161
2024-02-20,DKK,Danish Krone,Denmark,7.4873
2024-02-20,PLN,Polish Zloty,Poland,4.4176
2024-02-20,CZK,Czech Koruna,Czech Republic,25.0342
2024-02-20,HUF,Hungarian Forint,Hungary,384.8591
2024-02-20,RON,Romanian Leu,Romania,4.8295
2024-02-20,HRK,Croatian Kuna,Croatia,7.6453
2024-02-20,CHF,Swiss Franc,Switzerland,0.9468
2024-02-20,GBP,British Pound,United Kingdom,0.8705
2024-02-20,USD,US Dollar,United States,1.0614
2024-02-21,EUR,Euro,Eurozone,0.9782
2024-02-21,SEK,Swedish Krona,Sweden,10.9223
2024-02-21,NOK,Norwegian Krone,Norway,11.4762
2024-02-21,DKK,Danish Krone,Denmark,7.5002
2024-02-21,PLN,Polish Zloty,Poland,4.2921
2024-02-21,CZK,Czech Koruna,Czech Republic,25.0855
2024-02-21,HUF,Hungarian Forint,Hungary,403.0422
2024-02-21,RON,Romanian Leu,Romania,4.9247
2024-02-21,HRK,Croatian Kuna,Croatia,7.5363
2024-02-21,CHF,Swiss Franc,Switzerland,0.956
2024-02-21,GBP,British Pound,United Kingdom,0.8547
2024-02-21,USD,US Dollar,United States,1.0879
2024-02-22,EUR,Euro,Eurozone,1.0217
2024-02-22,SEK,Swedish Krona,Sweden,11.5534
2024-02-22,NOK,Norwegian Krone,Norway,11.3348
2024-02-22,DKK,Danish Krone,Denmark,7.6509
2024-02-22,PLN,Polish Zloty,Poland,4.318
2024-02-22,CZK,Czech Koruna,Czech Republic,24.8148
2024-02-22,HUF,Hungarian Forint,Hungary,392.5352
2024-02-22,RON,Romanian Leu,Romania,5.1131
2024-02-22,HRK,Croatian Kuna,Croatia,7.5267
2024-02-22,CHF,Swiss Franc,Switzerland,0.9303
2024-02-22,GBP,British Pound,United Kingdom,0.8669
2024-02-22,USD,US Dollar,United States,1.0632
2024-02-23,EUR,Euro,Eurozone,0.9746
2024-02-23,SEK,Swedish Krona,Sweden,10.9995
2024-02-23,NOK,Norwegian Krone,Norway,11.3216
2024-02-23,DKK,Danish Krone,Denmark,7.3042
2024-02-23,PLN,Polish Zloty,Poland,4.2264
2024-02-23,CZK,Czech Koruna,Czech Republic,25.3928
2024-02-23,HUF,Hungarian Forint,Hungary,385.9892
2024-02-23,RON,Romanian Leu,Romania,4.924
2024-02-23,HRK,Croatian Kuna,Croatia,7.7093
2024-02-23,CHF,Swiss Franc,Switzerland,0.9385
2024-02-23,GBP,British Pound,United Kingdom,0.8686
2024-02-23,USD,US Dollar,United States,1.0588
2024-02-26,EUR,Euro,Eurozone,0.9815
2024-02-26,SEK,Swedish Krona,Sweden,10.9401
2024-02-26,NOK,Norwegian Krone,Norway,11.35
2024-02-26,DKK,Danish Krone,Denmark,7.3609
2024-02-26,PLN,Polish Zloty,Poland,4.2363
2024-02-26,CZK,Czech Koruna,Czech Republic,24.5586
2024-02-26,HUF,Hungarian Forint,Hungary,384.5432
2024-02-26,RON,Romanian Leu,Romania,4.9583
2024-02-26,HRK,Croatian Kuna,Croatia,7.3973
2024-02-26,CHF,Swiss Franc,Switzerland,0.9323
2024-02-26,GBP,British Pound,United Kingdom,0.8602
2024-02-26,USD,US Dollar,United States,1.0923
2024-02-27,EUR,Euro,Eurozone,0.9724
2024-02-27,SEK,Swedish Krona,Sweden,11.4521
