DateKey,Date,Year,Quarter,Month,MonthNumber,MonthName,Day,DayOfWeek,DayOfWeekName,WeekNumber,IsWeekend
20220402,2022-04-02,2022,2,4,4,April,2,6,Saturday,13,1
20220403,2022-04-03,2022,2,4,4,April,3,7,Sunday,13,1
20220404,2022-04-04,2022,2,4,4,April,4,1,Monday,14,0
20220405,2022-04-05,2022,2,4,4,April,5,2,Tuesday,14,0
20220406,2022-04-06,2022,2,4,4,April,6,3,Wednesday,14,0
20220407,2022-04-07,2022,2,4,4,April,7,4,Thursday,14,0
20220408,2022-04-08,2022,2,4,4,April,8,5,Friday,14,0
20220409,2022-04-09,2022,2,4,4,April,9,6,Saturday,14,1
20220410,2022-04-10,2022,2,4,4,April,10,7,Sunday,14,1
20220411,2022-04-11,2022,2,4,4,April,11,1,Monday,15,0
20220412,2022-04-12,2022,2,4,4,April,12,2,Tuesday,15,0
20220413,2022-04-13,2022,2,4,4,April,13,3,Wednesday,15,0
20220414,2022-04-14,2022,2,4,4,April,14,4,Thursday,15,0
20220415,2022-04-15,2022,2,4,4,April,15,5,Friday,15,0
20220416,2022-04-16,2022,2,4,4,April,16,6,Saturday,15,1
20220417,2022-04-17,2022,2,4,4,April,17,7,Sunday,15,1
20220418,2022-04-18,2022,2,4,4,April,18,1,Monday,16,0
20220419,2022-04-19,2022,2,4,4,April,19,2,Tuesday,16,0
20220420,2022-04-20,2022,2,4,4,April,20,3,Wednesday,16,0
20220421,2022-04-21,2022,2,4,4,April,21,4,Thursday,16,0
20220422,2022-04-22,2022,2,4,4,April,22,5,Friday,16,0
20220423,2022-04-23,2022,2,4,4,April,23,6,Saturday,16,1
20220424,2022-04-24,2022,2,4,4,April,24,7,Sunday,16,1
20220425,2022-04-25,2022,2,4,4,April,25,1,Monday,17,0
20220426,2022-04-26,2022,2,4,4,April,26,2,Tuesday,17,0
20220427,2022-04-27,2022,2,4,4,April,27,3,Wednesday,17,0
20220428,2022-04-28,2022,2,4,4,April,28,4,Thursday,17,0
20220429,2022-04-29,2022,2,4,4,April,29,5,Friday,17,0
20220430,2022-04-30,2022,2,4,4,April,30,6,Saturday,17,1
20220501,2022-05-01,2022,2,5,5,May,1,7,Sunday,17,1
20220502,2022-05-02,2022,2,5,5,May,2,1,Monday,18,0
20220503,2022-05-03,2022,2,5,5,May,3,2,Tuesday,18,0
20220504,2022-05-04,2022,2,5,5,May,4,3,Wednesday,18,0
20220505,2022-05-05,2022,2,5,5,May,5,4,Thursday,18,0
20220506,2022-05-06,2022,2,5,5,May,6,5,Friday,18,0
20220507,2022-05-07,2022,2,5,5,May,7,6,Saturday,18,1
20220508,2022-05-08,2022,2,5,5,May,8,7,Sunday,18,1
20220509,2022-05-09,2022,2,5,5,May,9,1,Monday,19,0
20220510,2022-05-10,2022,2,5,5,May,10,2,Tuesday,19,0
20220511,2022-05-11,2022,2,5,5,May,11,3,Wednesday,19,0
20220512,2022-05-12,2022,2,5,5,May,12,4,Thursday,19,0
20220513,2022-05-13,2022,2,5,5,May,13,5,Friday,19,0
20220514,2022-05-14,2022,2,5,5,May,14,6,Saturday,19,1
20220515,2022-05-15,2022,2,5,5,May,15,7,Sunday,19,1
20220516,2022-05-16,2022,2,5,5,May,16,1,Monday,20,0
20220517,2022-05-17,2022,2,5,5,May,17,2,Tuesday,20,0
20220518,2022-05-18,2022,2,5,5,May,18,3,Wednesday,20,0
20220519,2022-05-19,2022,2,5,5,May,19,4,Thursday,20,0
20220520,2022-05-20,2022,2,5,5,May,20,5,Friday,20,0
20220521,2022-05-21,2022,2,5,5,May,21,6,Saturday,20,1
20220522,2022-05-22,2022,2,5,5,May,22,7,Sunday,20,1
20220523,2022-05-23,2022,2,5,5,May,23,1,Monday,21,0
20220524,2022-05-24,2022,2,5,5,May,24,2,Tuesday,21,0
20220525,2022-05-25,2022,2,5,5,May,25,3,Wednesday,21,0
20220526,2022-05-26,2022,2,5,5,May,26,4,Thursday,21,0
20220527,2022-05-27,2022,2,5,5,May,27,5,Friday,21,0
20220528,2022-05-28,2022,2,5,5,May,28,6,Saturday,21,1
20220529,2022-05-29,2022,2,5,5,May,29,7,Sunday,21,1
20220530,2022-05-30,2022,2,5,5,May,30,1,Monday,22,0
20220531,2022-05-31,2022,2,5,5,May,31,2,Tuesday,22,0
20220601,2022-06-01,2022,2,6,6,June,1,3,Wednesday,22,0
20220602,2022-06-02,2022,2,6,6,June,2,4,Thursday,22,0
20220603,2022-06-03,2022,2,6,6,June,3,5,Friday,22,0
20220604,2022-06-04,2022,2,6,6,June,4,6,Saturday,22,1
20220605,2022-06-05,2022,2,6,6,June,5,7,Sunday,22,1
20220606,2022-06-06,2022,2,6,6,June,6,1,Monday,23,0
20220607,2022-06-07,2022,2,6,6,June,7,2,Tuesday,23,0
20220608,2022-06-08,2022,2,6,6,June,8,3,Wednesday,23,0
20220609,2022-06-09,2022,2,6,6,June,9,4,Thursday,23,0
20220610,2022-06-10,2022,2,6,6,June,10,5,Friday,23,0
20220611,2022-06-11,2022,2,6,6,June,11,6,Saturday,23,1
20220612,2022-06-12,2022,2,6,6,June,12,7,Sunday,23,1
20220613,2022-06-13,2022,2,6,6,June,13,1,Monday,24,0
20220614,2022-06-14,2022,2,6,6,June,14,2,Tuesday,24,0
20220615,2022-06-15,2022,2,6,6,June,15,3,Wednesday,24,0
20220616,2022-06-16,2022,2,6,6,June,16,4,Thursday,24,0
20220617,2022-06-17,2022,2,6,6,June,17,5,Friday,24,0
20220618,2022-06-18,2022,2,6,6,June,18,6,Saturday,24,1
20220619,2022-06-19,2022,2,6,6,June,19,7,Sunday,24,1
20220620,2022-06-20,2022,2,6,6,June,20,1,Monday,25,0
20220621,2022-06-21,2022,2,6,6,June,21,2,Tuesday,25,0
20220622,2022-06-22,2022,2,6,6,June,22,3,Wednesday,25,0
20220623,2022-06-23,2022,2,6,6,June,23,4,Thursday,25,0
20220624,2022-06-24,2022,2,6,6,June,24,5,Friday,25,0
20220625,2022-06-25,2022,2,6,6,June,25,6,Saturday,25,1
20220626,2022-06-26,2022,2,6,6,June,26,7,Sunday,25,1
20220627,2022-06-27,2022,2,6,6,June,27,1,Monday,26,0
20220628,2022-06-28,2022,2,6,6,June,28,2,Tuesday,26,0
20220629,2022-06-29,2022,2,6,6,June,29,3,Wednesday,26,0
20220630,2022-06-30,2022,2,6,6,June,30,4,Thursday,26,0
20220701,2022-07-01,2022,3,7,7,July,1,5,Friday,26,0
20220702,2022-07-02,2022,3,7,7,July,2,6,Saturday,26,1
20220703,2022-07-03,2022,3,7,7,July,3,7,Sunday,26,1
20220704,2022-07-04,2022,3,7,7,July,4,1,Monday,27,0
20220705,2022-07-05,2022,3,7,7,July,5,2,Tuesday,27,0
20220706,2022-07-06,2022,3,7,7,July,6,3,Wednesday,27,0
20220707,2022-07-07,2022,3,7,7,July,7,4,Thursday,27,0
20220708,2022-07-08,2022,3,7,7,July,8,5,Friday,27,0
20220709,2022-07-09,2022,3,7,7,July,9,6,Saturday,27,1
20220710,2022-07-10,2022,3,7,7,July,10,7,Sunday,27,1
20220711,2022-07-11,2022,3,7,7,July,11,1,Monday,28,0
20220712,2022-07-12,2022,3,7,7,July,12,2,Tuesday,28,0
20220713,2022-07-13,2022,3,7,7,July,13,3,Wednesday,28,0
20220714,2022-07-14,2022,3,7,7,July,14,4,Thursday,28,0
20220715,2022-07-15,2022,3,7,7,July,15,5,Friday,28,0
20220716,2022-07-16,2022,3,7,7,July,16,6,Saturday,28,1
20220717,2022-07-17,2022,3,7,7,July,17,7,Sunday,28,1
20220718,2022-07-18,2022,3,7,7,July,18,1,Monday,29,0
20220719,2022-07-19,2022,3,7,7,July,19,2,Tuesday,29,0
20220720,2022-07-20,2022,3,7,7,July,20,3,Wednesday,29,0
20220721,2022-07-21,2022,3,7,7,July,21,4,Thursday,29,0
20220722,2022-07-22,2022,3,7,7,July,22,5,Friday,29,0
20220723,2022-07-23,2022,3,7,7,July,23,6,Saturday,29,1
20220724,2022-07-24,2022,3,7,7,July,24,7,Sunday,29,1
20220725,2022-07-25,2022,3,7,7,July,25,1,Monday,30,0
20220726,2022-07-26,2022,3,7,7,July,26,2,Tuesday,30,0
20220727,2022-07-27,2022,3,7,7,July,27,3,Wednesday,30,0
20220728,2022-07-28,2022,3,7,7,July,28,4,Thursday,30,0
20220729,2022-07-29,2022,3,7,7,July,29,5,Friday,30,0
20220730,2022-07-30,2022,3,7,7,July,30,6,Saturday,30,1
20220731,2022-07-31,2022,3,7,7,July,31,7,Sunday,30,1
20220801,2022-08-01,2022,3,8,8,August,1,1,Monday,31,0
20220802,2022-08-02,2022,3,8,8,August,2,2,Tuesday,31,0
20220803,2022-08-03,2022,3,8,8,August,3,3,Wednesday,31,0
20220804,2022-08-04,2022,3,8,8,August,4,4,Thursday,31,0
20220805,2022-08-05,2022,3,8,8,August,5,5,Friday,31,0
20220806,2022-08-06,2022,3,8,8,August,6,6,Saturday,31,1
20220807,2022-08-07,2022,3,8,8,August,7,7,Sunday,31,1
20220808,2022-08-08,2022,3,8,8,August,8,1,Monday,32,0
20220809,2022-08-09,2022,3,8,8,August,9,2,Tuesday,32,0
20220810,2022-08-10,2022,3,8,8,August,10,3,Wednesday,32,0
20220811,2022-08-11,2022,3,8,8,August,11,4,Thursday,32,0
20220812,2022-08-12,2022,3,8,8,August,12,5,Friday,32,0
20220813,2022-08-13,2022,3,8,8,August,13,6,Saturday,32,1
20220814,2022-08-14,2022,3,8,8,August,14,7,Sunday,32,1
20220815,2022-08-15,2022,3,8,8,August,15,1,Monday,33,0
20220816,2022-08-16,2022,3,8,8,August,16,2,Tuesday,33,0
20220817,2022-08-17,2022,3,8,8,August,17,3,Wednesday,33,0
20220818,2022-08-18,2022,3,8,8,August,18,4,Thursday,33,0
20220819,2022-08-19,2022,3,8,8,August,19,5,Friday,33,0
20220820,2022-08-20,2022,3,8,8,August,20,6,Saturday,33,1
20220821,2022-08-21,2022,3,8,8,August,21,7,Sunday,33,1
20220822,2022-08-22,2022,3,8,8,August,22,1,Monday,34,0
20220823,2022-08-23,2022,3,8,8,August,23,2,Tuesday,34,0
20220824,2022-08-24,2022,3,8,8,August,24,3,Wednesday,34,0
20220825,2022-08-25,2022,3,8,8,August,25,4,Thursday,34,0
20220826,2022-08-26,2022,3,8,8,August,26,5,Friday,34,0
20220827,2022-08-27,2022,3,8,8,August,27,6,Saturday,34,1
20220828,2022-08-28,2022,3,8,8,August,28,7,Sunday,34,1
20220829,2022-08-29,2022,3,8,8,August,29,1,Monday,35,0
20220830,2022-08-30,2022,3,8,8,August,30,2,Tuesday,35,0
20220831,2022-08-31,2022,3,8,8,August,31,3,Wednesday,35,0
20220901,2022-09-01,2022,3,9,9,September,1,4,Thursday,35,0
20220902,2022-09-02,2022,3,9,9,September,2,5,Friday,35,0
20220903,2022-09-03,2022,3,9,9,September,3,6,Saturday,35,1
20220904,2022-09-04,2022,3,9,9,September,4,7,Sunday,35,1
20220905,2022-09-05,2022,3,9,9,September,5,1,Monday,36,0
20220906,2022-09-06,2022,3,9,9,September,6,2,Tuesday,36,0
20220907,2022-09-07,2022,3,9,9,September,7,3,Wednesday,36,0
20220908,2022-09-08,2022,3,9,9,September,8,4,Thursday,36,0
20220909,2022-09-09,2022,3,9,9,September,9,5,Friday,36,0
20220910,2022-09-10,2022,3,9,9,September,10,6,Saturday,36,1
20220911,2022-09-11,2022,3,9,9,September,11,7,Sunday,36,1
20220912,2022-09-12,2022,3,9,9,September,12,1,Monday,37,0
20220913,2022-09-13,2022,3,9,9,September,13,2,Tuesday,37,0
20220914,2022-09-14,2022,3,9,9,September,14,3,Wednesday,37,0
20220915,2022-09-15,2022,3,9,9,September,15,4,Thursday,37,0
20220916,2022-09-16,2022,3,9,9,September,16,5,Friday,37,0
20220917,2022-09-17,2022,3,9,9,September,17,6,Saturday,37,1
20220918,2022-09-18,2022,3,9,9,September,18,7,Sunday,37,1
20220919,2022-09-19,2022,3,9,9,September,19,1,Monday,38,0
20220920,2022-09-20,2022,3,9,9,September,20,2,Tuesday,38,0
20220921,2022-09-21,2022,3,9,9,September,21,3,Wednesday,38,0
20220922,2022-09-22,2022,3,9,9,September,22,4,Thursday,38,0
20220923,2022-09-23,2022,3,9,9,September,23,5,Friday,38,0
20220924,2022-09-24,2022,3,9,9,September,24,6,Saturday,38,1
20220925,2022-09-25,2022,3,9,9,September,25,7,Sunday,38,1
20220926,2022-09-26,2022,3,9,9,September,26,1,Monday,39,0
20220927,2022-09-27,2022,3,9,9,September,27,2,Tuesday,39,0
20220928,2022-09-28,2022,3,9,9,September,28,3,Wednesday,39,0
20220929,2022-09-29,2022,3,9,9,September,29,4,Thursday,39,0
20220930,2022-09-30,2022,3,9,9,September,30,5,Friday,39,0
20221001,2022-10-01,2022,4,10,10,October,1,6,Saturday,39,1
20221002,2022-10-02,2022,4,10,10,October,2,7,Sunday,39,1
20221003,2022-10-03,2022,4,10,10,October,3,1,Monday,40,0
20221004,2022-10-04,2022,4,10,10,October,4,2,Tuesday,40,0
20221005,2022-10-05,2022,4,10,10,October,5,3,Wednesday,40,0
20221006,2022-10-06,2022,4,10,10,October,6,4,Thursday,40,0
20221007,2022-10-07,2022,4,10,10,October,7,5,Friday,40,0
20221008,2022-10-08,2022,4,10,10,October,8,6,Saturday,40,1
20221009,2022-10-09,2022,4,10,10,October,9,7,Sunday,40,1
20221010,2022-10-10,2022,4,10,10,October,10,1,Monday,41,0
20221011,2022-10-11,2022,4,10,10,October,11,2,Tuesday,41,0
20221012,2022-10-12,2022,4,10,10,October,12,3,Wednesday,41,0
20221013,2022-10-13,2022,4,10,10,October,13,4,Thursday,41,0
20221014,2022-10-14,2022,4,10,10,October,14,5,Friday,41,0
20221015,2022-10-15,2022,4,10,10,October,15,6,Saturday,41,1
20221016,2022-10-16,2022,4,10,10,October,16,7,Sunday,41,1
20221017,2022-10-17,2022,4,10,10,October,17,1,Monday,42,0
20221018,2022-10-18,2022,4,10,10,October,18,2,Tuesday,42,0
20221019,2022-10-19,2022,4,10,10,October,19,3,Wednesday,42,0
20221020,2022-10-20,2022,4,10,10,October,20,4,Thursday,42,0
20221021,2022-10-21,2022,4,10,10,October,21,5,Friday,42,0
20221022,2022-10-22,2022,4,10,10,October,22,6,Saturday,42,1
20221023,2022-10-23,2022,4,10,10,October,23,7,Sunday,42,1
20221024,2022-10-24,2022,4,10,10,October,24,1,Monday,43,0
20221025,2022-10-25,2022,4,10,10,October,25,2,Tuesday,43,0
20221026,2022-10-26,2022,4,10,10,October,26,3,Wednesday,43,0
20221027,2022-10-27,2022,4,10,10,October,27,4,Thursday,43,0
20221028,2022-10-28,2022,4,10,10,October,28,5,Friday,43,0
20221029,2022-10-29,2022,4,10,10,October,29,6,Saturday,43,1
20221030,2022-10-30,2022,4,10,10,October,30,7,Sunday,43,1
20221031,2022-10-31,2022,4,10,10,October,31,1,Monday,44,0
20221101,2022-11-01,2022,4,11,11,November,1,2,Tuesday,44,0
20221102,2022-11-02,2022,4,11,11,November,2,3,Wednesday,44,0
20221103,2022-11-03,2022,4,11,11,November,3,4,Thursday,44,0
20221104,2022-11-04,2022,4,11,11,November,4,5,Friday,44,0
20221105,2022-11-05,2022,4,11,11,November,5,6,Saturday,44,1
20221106,2022-11-06,2022,4,11,11,November,6,7,Sunday,44,1
20221107,2022-11-07,2022,4,11,11,November,7,1,Monday,45,0
20221108,2022-11-08,2022,4,11,11,November,8,2,Tuesday,45,0
20221109,2022-11-09,2022,4,11,11,November,9,3,Wednesday,45,0
20221110,2022-11-10,2022,4,11,11,November,10,4,Thursday,45,0
20221111,2022-11-11,2022,4,11,11,November,11,5,Friday,45,0
20221112,2022-11-12,2022,4,11,11,November,12,6,Saturday,45,1
20221113,2022-11-13,2022,4,11,11,November,13,7,Sunday,45,1
20221114,2022-11-14,2022,4,11,11,November,14,1,Monday,46,0
20221115,2022-11-15,2022,4,11,11,November,15,2,Tuesday,46,0
20221116,2022-11-16,2022,4,11,11,November,16,3,Wednesday,46,0
20221117,2022-11-17,2022,4,11,11,November,17,4,Thursday,46,0
20221118,2022-11-18,2022,4,11,11,November,18,5,Friday,46,0
20221119,2022-11-19,2022,4,11,11,November,19,6,Saturday,46,1
20221120,2022-11-20,2022,4,11,11,November,20,7,Sunday,46,1
20221121,2022-11-21,2022,4,11,11,November,21,1,Monday,47,0
20221122,2022-11-22,2022,4,11,11,November,22,2,Tuesday,47,0
20221123,2022-11-23,2022,4,11,11,November,23,3,Wednesday,47,0
20221124,2022-11-24,2022,4,11,11,November,24,4,Thursday,47,0
20221125,2022-11-25,2022,4,11,11,November,25,5,Friday,47,0
20221126,2022-11-26,2022,4,11,11,November,26,6,Saturday,47,1
20221127,2022-11-27,2022,4,11,11,November,27,7,Sunday,47,1
20221128,2022-11-28,2022,4,11,11,November,28,1,Monday,48,0
20221129,2022-11-29,2022,4,11,11,November,29,2,Tuesday,48,0
20221130,2022-11-30,2022,4,11,11,November,30,3,Wednesday,48,0
20221201,2022-12-01,2022,4,12,12,December,1,4,Thursday,48,0
20221202,2022-12-02,2022,4,12,12,December,2,5,Friday,48,0
20221203,2022-12-03,2022,4,12,12,December,3,6,Saturday,48,1
20221204,2022-12-04,2022,4,12,12,December,4,7,Sunday,48,1
20221205,2022-12-05,2022,4,12,12,December,5,1,Monday,49,0
20221206,2022-12-06,2022,4,12,12,December,6,2,Tuesday,49,0
20221207,2022-12-07,2022,4,12,12,December,7,3,Wednesday,49,0
20221208,2022-12-08,2022,4,12,12,December,8,4,Thursday,49,0
20221209,2022-12-09,2022,4,12,12,December,9,5,Friday,49,0
20221210,2022-12-10,2022,4,12,12,December,10,6,Saturday,49,1
20221211,2022-12-11,2022,4,12,12,December,11,7,Sunday,49,1
20221212,2022-12-12,2022,4,12,12,December,12,1,Monday,50,0
20221213,2022-12-13,2022,4,12,12,December,13,2,Tuesday,50,0
20221214,2022-12-14,2022,4,12,12,December,14,3,Wednesday,50,0
20221215,2022-12-15,2022,4,12,12,December,15,4,Thursday,50,0
20221216,2022-12-16,2022,4,12,12,December,16,5,Friday,50,0
20221217,2022-12-17,2022,4,12,12,December,17,6,Saturday,50,1
20221218,2022-12-18,2022,4,12,12,December,18,7,Sunday,50,1
20221219,2022-12-19,2022,4,12,12,December,19,1,Monday,51,0
20221220,2022-12-20,2022,4,12,12,December,20,2,Tuesday,51,0
20221221,2022-12-21,2022,4,12,12,December,21,3,Wednesday,51,0
20221222,2022-12-22,2022,4,12,12,December,22,4,Thursday,51,0
20221223,2022-12-23,2022,4,12,12,December,23,5,Friday,51,0
20221224,2022-12-24,2022,4,12,12,December,24,6,Saturday,51,1
20221225,2022-12-25,2022,4,12,12,December,25,7,Sunday,51,1
20221226,2022-12-26,2022,4,12,12,December,26,1,Monday,52,0
20221227,2022-12-27,2022,4,12,12,December,27,2,Tuesday,52,0
20221228,2022-12-28,2022,4,12,12,December,28,3,Wednesday,52,0
20221229,2022-12-29,2022,4,12,12,December,29,4,Thursday,52,0
20221230,2022-12-30,2022,4,12,12,December,30,5,Friday,52,0
20221231,2022-12-31,2022,4,12,12,December,31,6,Saturday,52,1
20230101,2023-01-01,2023,1,1,1,January,1,7,Sunday,52,1
20230102,2023-01-02,2023,1,1,1,January,2,1,Monday,1,0
20230103,2023-01-03,2023,1,1,1,January,3,2,Tuesday,1,0
20230104,2023-01-04,2023,1,1,1,January,4,3,Wednesday,1,0
20230105,2023-01-05,2023,1,1,1,January,5,4,Thursday,1,0
20230106,2023-01-06,2023,1,1,1,January,6,5,Friday,1,0
20230107,2023-01-07,2023,1,1,1,January,7,6,Saturday,1,1
20230108,2023-01-08,2023,1,1,1,January,8,7,Sunday,1,1
20230109,2023-01-09,2023,1,1,1,January,9,1,Monday,2,0
20230110,2023-01-10,2023,1,1,1,January,10,2,Tuesday,2,0
20230111,2023-01-11,2023,1,1,1,January,11,3,Wednesday,2,0
20230112,2023-01-12,2023,1,1,1,January,12,4,Thursday,2,0
20230113,2023-01-13,2023,1,1,1,January,13,5,Friday,2,0
20230114,2023-01-14,2023,1,1,1,January,14,6,Saturday,2,1
20230115,2023-01-15,2023,1,1,1,January,15,7,Sunday,2,1
20230116,2023-01-16,2023,1,1,1,January,16,1,Monday,3,0
20230117,2023-01-17,2023,1,1,1,January,17,2,Tuesday,3,0
20230118,2023-01-18,2023,1,1,1,January,18,3,Wednesday,3,0
20230119,2023-01-19,2023,1,1,1,January,19,4,Thursday,3,0
20230120,2023-01-20,2023,1,1,1,January,20,5,Friday,3,0
20230121,2023-01-21,2023,1,1,1,January,21,6,Saturday,3,1
20230122,2023-01-22,2023,1,1,1,January,22,7,Sunday,3,1
20230123,2023-01-23,2023,1,1,1,January,23,1,Monday,4,0
20230124,2023-01-24,2023,1,1,1,January,24,2,Tuesday,4,0
20230125,2023-01-25,2023,1,1,1,January,25,3,Wednesday,4,0
20230126,2023-01-26,2023,1,1,1,January,26,4,Thursday,4,0
20230127,2023-01-27,2023,1,1,1,January,27,5,Friday,4,0
20230128,2023-01-28,2023,1,1,1,January,28,6,Saturday,4,1
20230129,2023-01-29,2023,1,1,1,January,29,7,Sunday,4,1
20230130,2023-01-30,2023,1,1,1,January,30,1,Monday,5,0
20230131,2023-01-31,2023,1,1,1,January,31,2,Tuesday,5,0
