cis,atc,denomination,lien,substance,dosage,est_antihistaminique
60033510,J01XA01,"VANCOMYCINE VIATRIS 125 mg, poudre pour solution à diluer pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60033510,CHLORHYDRATE DE VANCOMYCINE,125 mg,False
60034085,N05CD08,"BUCCOLAM 10 mg, solution buccale",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60034085,CHLORHYDRATE DE MIDAZOLAM,,False
60035714,L04AB06,"SIMPONI 50 mg, solution injectable en seringue préremplie",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60035714,GOLIMUMAB ,50 mg,False
60037327,V03AB14,"PROTAMINE CHOAY 1000 U.A.H./ml, solution injectable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60037327,SULFATE DE PROTAMINE,1 000 Unités Antihéparine,False
60037380,C09DB01,"AMLODIPINE/VALSARTAN KRKA 5 mg/160 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60037380,VALSARTAN,160 mg,False
60038468,N03AX09,"LAMOTRIGINE ARROW LAB 200 mg, comprimé dispersible ou à croquer",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60038468,LAMOTRIGINE,200 mg,False
60038525,R03AK07,"BUDESONIDE/FORMOTEROL SANDOZ FORSPIRO 320 microgrammes/9 microgrammes/dose, poudre pour inhalation en récipient unidose",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60038525,BUDÉSONIDE,320 microgrammes,False
60040572,B05AA01,"VIALEBEX 200 g/L Nouveau-nés et nourrissons, solution pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60040572,ALBUMINE HUMAINE ,200 mg,False
60041560,N02AX02,"TRAMADOL CRISTERS LP 150 mg, comprimé pelliculé à libération prolongée",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60041560,CHLORHYDRATE DE TRAMADOL,150 mg,False
60043077,N03AF02,"OXCARBAZEPINE VIATRIS 300 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60043077,OXCARBAZÉPINE,300 mg,False
60044784,N03AX14,"LEVETIRACETAM VIATRIS 250 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60044784,LÉVÉTIRACÉTAM,250 mg,False
60044987,L01BC06,"CAPECITABINE VIATRIS 500 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60044987,CAPÉCITABINE,500 mg,False
60045217,C01CX08,"ZIMINO 2,5 mg/ml, solution à diluer pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60045217,LÉVOSIMENDAN,"2,5 mg",False
60047182,N06BA04,"CONCERTA LP 54 mg, comprimé à libération prolongée",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60047182,CHLORHYDRATE DE MÉTHYLPHÉNIDATE,54 mg,False
60047225,L01FC01,"DARZALEX 1800 mg, solution injectable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60047225,DARATUMUMAB ,1 800 mg,False
60047271,S01EE01,"XALATAN 50 microgrammes/mL, collyre en solution",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60047271,LATANOPROST,50 microgrammes,False
60049895,C09AA05,"RAMIPRIL ALMUS 10 mg, comprimé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60049895,RAMIPRIL,10 mg,False
60051704,C09BA04,"PERINDOPRIL ARGININE/INDAPAMIDE VIATRIS 5 mg/1,25 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60051704,INDAPAMIDE,"1,25 mg",False
60054077,L02AE02,"ENANTONE LP 1,88 mg, poudre et solvant pour suspension injectable (S.C.) à libération prolongée en seringue pré-remplie",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60054077,ACÉTATE DE LEUPRORÉLINE,"1,88 mg",False
60054376,L01AX04,"DACARBAZINE LIPOMED 1000 mg, poudre pour solution pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60054376,DACARBAZINE,1000 mg,False
60058008,C09DB01,"EXFORGE 10 mg/160 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60058008,VALSARTAN,160 mg,False
60058378,C03DA01,"SPIRONOLACTONE ZENTIVA 75 mg, comprimé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60058378,SPIRONOLACTONE,75 mg,False
60058517,N03AG06,"GABITRIL 10 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60058517,CHLORHYDRATE DE TIAGABINE MONOHYDRATÉ,,False
60058620,L01XK01,"LYNPARZA 150 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60058620,OLAPARIB,150 mg,False
60059081,N06BA04,"RITALINE 10 mg, comprimé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60059081,CHLORHYDRATE DE MÉTHYLPHÉNIDATE,10 mg,False
60061171,J01AA04,"TETRALYSAL 150 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60061171,LYMÉCYCLINE,226 mg,False
60061449,V03AN01,"OXYGENE MEDICINAL LIQUIDE AIR LIQUIDE ANTILLES GUYANE, gaz pour inhalation, pour évaporateur fixe",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60061449,OXYGÈNE,"qsp (sous une pression de 10 à 12 bar, à -150 °C)",False
60061602,N02BF02,"PREGABALINE TEVA SANTE 200 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60061602,PRÉGABALINE,200 mg,False
60068002,N06AB10,"ESCITALOPRAM VIATRIS 10 mg, comprimé pelliculé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60068002,OXALATE D'ESCITALOPRAM,,False
60069307,A16AX04,"NITISINONE DIPHARMA 20 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60069307,NITISINONE,20 mg,False
60069339,R03DC03,"MONTELUKAST TEVA 4 mg, granulés",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60069339,MONTÉLUKAST SODIQUE,,False
60070665,B03XA03,"MIRCERA 200 microgrammes/0,3 ml, solution injectable en seringue préremplie",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60070665,MÉTHOXY POLYÉTHYLÈNE GLYCOL-ÉPOÉTINE BÊTA ,200 microgrammes,False
60071190,C10AA01,"SIMVASTATINE SANDOZ 10 mg, comprimé pelliculé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60071190,SIMVASTATINE,"10,0 mg",False
60071379,G03CA03,"OROMONE 2 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60071379,BÊTA-ESTRADIOL HÉMIHYDRATÉ,"2,06 mg",False
60071952,A02BC02,"EUPANTOL 40 mg, comprimé gastro-résistant",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60071952,PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ,,False
60073608,R06AE09,"LEVOCETIRIZINE KRKA 5 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60073608,DICHLORHYDRATE DE LÉVOCÉTIRIZINE,5 mg,True
60074795,B05AA02,"OCTAPLASLG, solution pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60074795,PROTÉINES PLASMATIQUES HUMAINES ,45 - 70 mg,False
60075452,N02BF02,"PREGABALINE BIOGARAN 100 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60075452,PRÉGABALINE,100 mg,False
60076860,L04AX04,"LENALIDOMIDE STRAGEN 20 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60076860,LÉNALIDOMIDE,20 mg,False
60077574,C07AB07,"CARDENSIEL 2,5 mg, comprimé pelliculé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60077574,FUMARATE DE BISOPROLOL,"2,5 mg",False
60078078,G03AD01,"LEVONORGESTREL EG 1,5 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60078078,LÉVONORGESTREL,"1,50 mg",False
60078765,N05AH04,"QUETIAPINE ACCORD HEALTHCARE LP 400 mg, comprimé à libération prolongée",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60078765,QUÉTIAPINE (HÉMIFUMARATE DE),,False
60080218,A07EC02,"FIVASA 500 mg, suppositoire",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60080218,MÉSALAZINE,500 mg,False
60082062,L03AX13,"COPAXONE 20 mg/ml, solution injectable en seringue préremplie",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60082062,ACÉTATE DE GLATIRAMÈRE,20 mg,False
60082233,S01EE01,"LATAZED 50 microgrammes/mL, collyre en solution",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60082233,LATANOPROST,50 microgrammes,False
60089217,L01XX44,"ZALTRAP 25 mg/ml, solution à diluer pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60089217,AFLIBERCEPT ,25 mg,False
60091086,N02BE01,"PARACETAMOL TEVA 500 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60091086,PARACÉTAMOL,500 mg,False
60092590,N04BA02,"SINEMET 250 mg/25 mg, comprimé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60092590,LÉVODOPA,250 mg,False
60093639,N04BC04,"ROPINIROLE BIOGARAN LP 8 mg, comprimé pelliculé à libération prolongée",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60093639,CHLORHYDRATE DE ROPINIROLE,"9,121 mg",False
60094125,C09AA10,"TRANDOLAPRIL VIATRIS 0,5 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60094125,TRANDOLAPRIL,"0,5 mg",False
60097203,C10AA03,"PRAVASTATINE ARROW 10 mg, comprimé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60097203,PRAVASTATINE SODIQUE,10 mg,False
60100877,S01ED02,"BETOPTIC 0,5 POUR CENT, collyre",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60100877,BÉTAXOLOL (CHLORHYDRATE DE),"0,56 g",False
60101406,J01CA04,"AMOXICILLINE KRKA 1 g, comprimé dispersible sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60101406,AMOXICILLINE TRIHYDRATÉE,,False
60105162,N02BF01,"GABAPENTINE ZENTIVA 600 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60105162,GABAPENTINE,600 mg,False
60106606,B02BD02,"REFACTO AF 250 UI, poudre et solvant pour solution injectable en seringue préremplie",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60106606,MOROCTOCOG ALFA ,250 UI,False
60106862,C09DB05,"APREXEVO 300 mg/5 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60106862,IRBÉSARTAN,300 mg,False
60108518,N02AA05,"OXYCODONE SANDOZ 20 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60108518,CHLORHYDRATE D'OXYCODONE,20 mg,False
60110896,J05AF10,"ENTECAVIR ACCORD 0,5 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60110896,ENTÉCAVIR MONOHYDRATÉ,,False
60111197,J05AB01,"ACICLOVIR ARROW 800 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60111197,ACICLOVIR,800 mg,False
60111553,C02CA06,"URAPIDIL KALCEKS 50 mg/10 mL, solution injectable/pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60111553,URAPIDIL,50 mg,False
60111813,C09AA02,"ENALAPRIL ZENTIVA 20 mg, comprimé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60111813,MALÉATE D'ÉNALAPRIL,20 mg,False
60113814,C10AA05,"ATORVASTATINE ZYDUS 80 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60113814,ATORVASTATINE CALCIQUE TRIHYDRATÉE,"86,760 mg",False
60116447,A10BB12,"GLIMEPIRIDE EG 1 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60116447,GLIMÉPIRIDE,1 mg,False
60116714,L01EA03,"NILOTINIB ACCORD 200 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60116714,NILOTINIB,200 mg,False
60116810,C09BA04,"PERINDOPRIL ARGININE/INDAPAMIDE BIOGARAN 2,5 mg/0,625 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60116810,INDAPAMIDE,"0,625 mg",False
60118715,H02AB07,"CORTANCYL 1 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60118715,PREDNISONE,1 mg,False
60120709,M04AA01,"ALLOPURINOL SUN 200 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60120709,ALLOPURINOL,"200,00 mg",False
60122699,V03AC03,"DEFERASIROX ZENTIVA 90 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60122699,DÉFÉRASIROX,90 mg,False
60122717,V03AE02,"SEVELAMER CARBONATE SANDOZ 2,4 g, poudre pour suspension buvable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60122717,CARBONATE DE SÉVÉLAMER,"2,4 g",False
60124472,C09BB04,"PERINDOPRIL TERT-BUTYLAMINE/AMLODIPINE ARROW 4 mg/10 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60124472,TERT-BUTYLAMINE DE PÉRINDOPRIL,4 mg,False
60124999,B01AC04,"CLOPIDOGREL ZF 75 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60124999,HYDROGÉNOSULFATE DE CLOPIDOGREL,,False
60125777,N05AA06,"CYAMEMAZINE VIATRIS 100 mg, comprimé pelliculé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60125777,TARTRATE DE CYAMÉMAZINE,"146,400 mg",False
60126594,N05AH03,"OLANZAPINE VIATRIS 5 mg, comprimé orodispersible",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60126594,OLANZAPINE,5 mg,False
60129957,L04AX03,"METOJECT 17,5 mg/0,35 ml, solution injectable en stylo prérempli",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60129957,MÉTHOTREXATE,"17,5 mg",False
60130062,R03AK08,"FORMODUAL 100/6 microgrammes/dose, solution pour inhalation en flacon pressurisé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60130062,DIPROPIONATE DE BÉCLOMÉTASONE,100 microgrammes,False
60131805,N01BB09,"ROPIVACAÏNE KABI 2 mg/ml, solution injectable en ampoule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60131805,CHLORHYDRATE DE ROPIVACAÏNE,2 mg,False
60132330,N03AX14,"KEPPRA 100 mg/ml, solution buvable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60132330,LÉVÉTIRACÉTAM,100 mg,False
60132743,J05AF01,"RETROVIR 10 mg/ml, solution à diluer pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60132743,ZIDOVUDINE,200 mg,False
60135981,S01EE03,"LUMIGAN 0,3 mg/ml, collyre en solution",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60135981,BIMATOPROST,"0,3 mg",False
60136439,N05AX12,"ARIPIPRAZOLE SANDOZ 15 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60136439,ARIPIPRAZOLE,15 mg,False
60137021,N03AX18,"LACOSAMIDE ACCORD 10 mg/mL, solution pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60137021,LACOSAMIDE,10 mg,False
60139563,N06AB10,"ESCITALOPRAM ZENTIVA 5 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60139563,OXALATE D'ESCITALOPRAM,,False
60140010,J02AX04,"CASPOFUNGINE STRAGEN 50 mg, poudre pour solution à diluer pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60140010,ACÉTATE DE CASPOFUNGINE ,,False
60140882,N05AX12,"ARIPIPRAZOLE TEVA 10 mg, comprimé orodispersible",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60140882,ARIPIPRAZOLE,10 mg,False
60141614,M04AA03,"FÉBUXOSTAT ARROW 120 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60141614,FÉBUXOSTAT,120 mg,False
60143654,L01EB02,"ERLOTINIB BIOGARAN 150 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60143654,CHLORHYDRATE D'ERLOTINIB,,False
60144464,N04BC04,"ROPINIROLE ARROW LP 4 mg, comprimé pelliculé à libération prolongée",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60144464,CHLORHYDRATE DE ROPINIROLE,,False
60145580,C10AA01,"SIMVASTATINE ZYDUS FRANCE 20 mg, comprimé pelliculé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60145580,SIMVASTATINE,20 mg,False
60148167,L03AX16,"MOZOBIL 20 mg/ml, solution pour injection",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60148167,PLÉRIXAFOR,20 mg,False
60148893,V03AE03,"LANTHANE VIATRIS 1000 mg, comprimé à croquer",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60148893,CARBONATE DE LANTHANE HYDRATÉ,,False
60149276,C01CA26,"EPHEDRINE AGUETTANT 3 mg/ml, solution injectable en seringue préremplie",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60149276,CHLORHYDRATE D'ÉPHÉDRINE,3 mg,False
60150015,A16AX09,"RAVICTI 1,1 g/ml, liquide oral",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60150015,PHÉNYLBUTYRATE DE GLYCÉROL,"1,1 g",False
60150638,J05AG05,"REKAMBYS 900 mg, suspension injectable à libération prolongée",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60150638,RILPIVIRINE,900 mg,False
60151697,J01MA01,"OFLOXACINE BIOGARAN 200 mg, comprimé pelliculé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60151697,OFLOXACINE,200 mg,False
60152411,N02AJ13,"TRAMADOL/PARACETAMOL KRKA 37,5 mg/325 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60152411,PARACÉTAMOL,325 mg,False
60152436,J07BC02,"HAVRIX NOURRISSONS ET ENFANTS 720 U/0,5 mL, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé)",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60152436,VIRUS DE L'HÉPATITE A SOUCHE HM175 INACTIVÉ ADSORBÉ ,720 Unités ELISA,False
60153075,V01AA08,"PALFORZIA 300 mg, poudre orale en sachet",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60153075,POUDRE DE GRAINE D'ARACHIS HYPOGAEA L. (ARACHIDE) ALLÉGÉE EN GRAISSES,,False
60153239,B02AB02,"ALFALASTIN 33,33 mg/mL, poudre et solvant pour solution injectable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60153239,ALPHA-1 ANTITRYPSINE HUMAINE ,"33,33 mg",False
60154017,A10BX02,"REPAGLINIDE SANDOZ 0,5 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60154017,RÉPAGLINIDE,"0,5 mg",False
60154024,C01EB15,"TRIMETAZIDINE EG 35 mg, comprimé pelliculé à libération modifiée",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60154024,DICHLORHYDRATE DE TRIMÉTAZIDINE,35 mg,False
60155667,L01CB01,"ETOPOSIDE TEVA 200 mg/10 ml, solution injectable pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60155667,ÉTOPOSIDE,200 mg,False
60155788,N06AB06,"ZOLOFT 25 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60155788,CHLORHYDRATE DE SERTRALINE,"27,977 mg",False
60156413,C09BB02,"ENALAPRIL/LERCANIDIPINE ARROW 20 mg/10 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60156413,MALÉATE D'ÉNALAPRIL,20 mg,False
60159128,C09AA02,"ENALAPRIL EG 5 mg, comprimé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60159128,MALÉATE D'ÉNALAPRIL,5 mg,False
60160479,C01EB17,"IVABRADINE ZENTIVA 5 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60160479,CHLORHYDRATE D'IVABRADINE,,False
60160707,N06AB05,"DEROXAT 20 mg, comprimé pelliculé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60160707,CHLORHYDRATE DE PAROXÉTINE HÉMIHYDRATÉ,,False
60160835,V03AE02,"SEVELAMER CARBONATE ARROW 800 mg, comprimé pelliculé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60160835,CARBONATE DE SÉVÉLAMER,800 mg,False
60160881,L01CD04,"CABAZITAXEL TEVA PHARMA 10 mg/mL, solution à diluer pour perfusion",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60160881,SOLVATE DE CABAZITAXEL 2-PROPANOL,,False
60161143,C09AA05,"TRIATEC 10 mg, comprimé sécable",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60161143,RAMIPRIL,10 mg,False
60165394,N02BF02,"PREGABALINE CRISTERS PHARMA 25 mg, gélule",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60165394,PRÉGABALINE,25 mg,False
60165857,C08CA11,"MANIDIPINE BIOGARAN 10 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60165857,MANIDIPINE (DICHLORHYDRATE DE),10 mg,False
60168465,C09AA05,"RAMIPRIL KRKA 5 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60168465,RAMIPRIL,5 mg,False
60168515,B03XA01,"NEORECORMON 30 000 UI, solution injectable en seringue préremplie",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60168515,ÉPOÉTINE BÊTA ,30000 UI,False
60170224,N05AH03,"OLANZAPINE CRISTERS PHARMA 10 mg, comprimé",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60170224,OLANZAPINE,10 mg,False
60172339,C01DA08,"ISOCARD, solution sublinguale en flacon pulvérisateur",http://base-donnees-publique.medicaments.gouv.fr/extrait.php?specid=60172339,DINITRATE D'ISOSORBIDE,"0,20 g",False
