WarehouseKey,Year,MonthNumber,DonationRateTarget,TaxCreditTarget
3,2023,4,0.306,22257.38
3,2023,5,0.289,14977.86
3,2023,6,0.288,20410.64
3,2023,7,0.287,25629.86
3,2023,8,0.313,20777.18
3,2023,9,0.302,16595.4
3,2023,10,0.276,19091.34
3,2023,11,0.283,16134.56
3,2023,12,0.295,24875.66
3,2024,1,0.344,21392.19
3,2024,2,0.321,10152.53
3,2024,3,0.358,10387.36
3,2024,4,0.35,19411.83
3,2024,5,0.358,18069.73
3,2024,6,0.373,18765.89
3,2024,7,0.373,14379.04
3,2024,8,0.331,12264.39
3,2024,9,0.332,15180.76
3,2024,10,0.378,14401.01
3,2024,11,0.321,14722.97
3,2024,12,0.325,13110.42
3,2025,1,0.378,28180.87
3,2025,2,0.391,26661.74
3,2025,3,0.382,32117.93
3,2025,4,0.387,12563.12
3,2025,5,0.404,12850.21
3,2025,6,0.396,12993.5
3,2025,7,0.414,12148.75
3,2025,8,0.402,13653.11
3,2025,9,0.425,28070.19
3,2025,10,0.409,31695.61
3,2025,11,0.394,14230.8
3,2025,12,0.384,13373.91
4,2022,1,0.244,17058.93
4,2022,2,0.229,9520.3
4,2022,3,0.232,16107.08
4,2022,4,0.248,24874.96
4,2022,5,0.256,14038.97
4,2022,6,0.241,8189.73
4,2022,7,0.251,19219.38
4,2022,8,0.232,8254.66
4,2022,9,0.271,13265.9
4,2022,10,0.256,11660.67
4,2022,11,0.275,12796.0
4,2022,12,0.256,24637.79
4,2023,1,0.32,21672.97
4,2023,2,0.273,24678.04
4,2023,3,0.298,26622.57
4,2023,4,0.294,10191.74
4,2023,5,0.279,18385.83
4,2023,6,0.301,20360.9
4,2023,7,0.329,25496.34
4,2023,8,0.274,12156.47
4,2023,9,0.294,20432.04
4,2023,10,0.291,26463.4
4,2023,11,0.306,24601.31
4,2023,12,0.295,20139.02
4,2024,1,0.338,12507.33
4,2024,2,0.342,27897.05
4,2024,3,0.369,10362.55
4,2024,4,0.364,27573.9
4,2024,5,0.373,11683.51
4,2024,6,0.329,19770.41
4,2024,7,0.363,14062.04
4,2024,8,0.36,15488.15
4,2024,9,0.321,28625.64
4,2024,10,0.354,9992.47
4,2024,11,0.332,18522.29
4,2024,12,0.323,28232.85
4,2025,1,0.419,16911.96
4,2025,2,0.386,27737.49
4,2025,3,0.419,13260.6
4,2025,4,0.387,17836.61
4,2025,5,0.414,28494.22
4,2025,6,0.402,20425.78
4,2025,7,0.404,23384.82
4,2025,8,0.372,17460.6
4,2025,9,0.417,23298.57
4,2025,10,0.38,19814.94
4,2025,11,0.391,22812.62
4,2025,12,0.422,27232.27
5,2022,1,0.276,24634.68
5,2022,2,0.249,10654.08
5,2022,3,0.248,15266.17
5,2022,4,0.256,18826.87
5,2022,5,0.277,19817.6
5,2022,6,0.242,8958.22
5,2022,7,0.234,12457.82
5,2022,8,0.268,21082.84
5,2022,9,0.225,23111.0
5,2022,10,0.248,22371.61
5,2022,11,0.244,23976.92
5,2022,12,0.268,22342.41
5,2023,1,0.292,27120.37
5,2023,2,0.299,8827.85
5,2023,3,0.273,17110.99
5,2023,4,0.287,17541.51
5,2023,5,0.285,19431.99
5,2023,6,0.299,14906.6
5,2023,7,0.277,9260.31
5,2023,8,0.305,25665.6
5,2023,9,0.305,21227.61
5,2023,10,0.329,18538.65
5,2023,11,0.312,24554.38
5,2023,12,0.31,18591.01
5,2024,1,0.339,10944.66
5,2024,2,0.335,17425.23
5,2024,3,0.335,17608.96
5,2024,4,0.378,24164.53
5,2024,5,0.334,10966.72
5,2024,6,0.353,10618.89
5,2024,7,0.355,19814.74
5,2024,8,0.32,19328.22
5,2024,9,0.358,25261.63
5,2024,10,0.351,29341.28
5,2024,11,0.358,12128.92
5,2024,12,0.359,10906.32
5,2025,1,0.399,14927.09
5,2025,2,0.424,22015.74
5,2025,3,0.372,25503.73
5,2025,4,0.375,27092.46
5,2025,5,0.399,16815.18
5,2025,6,0.416,10803.96
5,2025,7,0.408,31070.46
5,2025,8,0.426,19141.04
5,2025,9,0.409,22524.52
5,2025,10,0.388,21229.63
5,2025,11,0.426,32083.64
5,2025,12,0.404,27658.88
6,2022,1,0.223,21778.74
6,2022,2,0.258,17520.91
6,2022,3,0.262,14169.04
6,2022,4,0.247,17196.6
6,2022,5,0.276,17835.07
6,2022,6,0.271,9537.18
6,2022,7,0.257,9092.31
6,2022,8,0.278,8935.63
6,2022,9,0.24,22340.07
6,2022,10,0.243,18024.89
6,2022,11,0.226,21821.53
6,2022,12,0.277,16060.75
6,2023,1,0.319,21314.49
6,2023,2,0.282,18335.59
6,2023,3,0.278,19943.77
6,2023,4,0.301,13026.46
6,2023,5,0.285,15791.9
6,2023,6,0.278,21274.14
6,2023,7,0.314,24141.81
6,2023,8,0.308,20618.28
6,2023,9,0.272,22753.83
6,2023,10,0.29,9318.22
6,2023,11,0.278,10835.85
6,2023,12,0.313,22323.02
6,2024,1,0.369,23646.21
6,2024,2,0.345,17958.81
6,2024,3,0.327,27739.88
6,2024,4,0.373,25373.18
6,2024,5,0.375,14790.55
6,2024,6,0.332,23098.48
6,2024,7,0.369,24492.69
6,2024,8,0.323,21402.68
6,2024,9,0.37,18437.2
6,2024,10,0.349,26543.26
6,2024,11,0.354,14042.69
6,2024,12,0.331,12822.86
6,2025,1,0.371,15375.94
6,2025,2,0.421,17845.26
6,2025,3,0.407,20913.15
6,2025,4,0.404,28902.83
6,2025,5,0.392,17496.74
6,2025,6,0.38,23405.14
6,2025,7,0.416,19419.36
6,2025,8,0.378,30583.03
6,2025,9,0.372,12177.9
6,2025,10,0.408,13523.87
6,2025,11,0.394,31130.6
6,2025,12,0.399,12360.96
7,2022,1,0.237,24787.97
7,2022,2,0.239,9290.82
7,2022,3,0.244,19687.43
7,2022,4,0.271,19025.92
7,2022,5,0.224,16017.29
7,2022,6,0.249,23070.4
7,2022,7,0.254,18798.94
7,2022,8,0.238,19755.77
7,2022,9,0.237,21487.16
7,2022,10,0.223,23518.75
7,2022,11,0.227,16773.06
7,2022,12,0.269,17818.22
7,2023,1,0.28,16730.94
7,2023,2,0.324,23149.05
7,2023,3,0.323,23987.02
7,2023,4,0.284,22932.05
7,2023,5,0.329,15929.04
7,2023,6,0.285,18277.57
7,2023,7,0.295,16462.46
7,2023,8,0.314,9382.28
7,2023,9,0.28,22660.2
7,2023,10,0.305,22928.01
7,2023,11,0.325,17977.53
7,2023,12,0.283,19841.98
7,2024,1,0.377,16671.37
7,2024,2,0.342,15108.89
7,2024,3,0.348,10807.38
7,2024,4,0.356,23663.74
7,2024,5,0.349,19301.46
7,2024,6,0.357,27716.97
7,2024,7,0.364,25242.99
7,2024,8,0.327,21836.3
7,2024,9,0.331,21554.01
7,2024,10,0.352,17274.96
7,2024,11,0.375,28703.66
7,2024,12,0.35,19141.61
7,2025,1,0.376,29243.51
7,2025,2,0.415,19885.63
7,2025,3,0.382,28339.49
7,2025,4,0.388,16974.08
7,2025,5,0.413,23933.24
7,2025,6,0.375,22633.34
7,2025,7,0.429,23209.13
7,2025,8,0.388,28710.21
7,2025,9,0.386,32392.36
7,2025,10,0.416,30190.93
7,2025,11,0.386,11653.56
7,2025,12,0.39,23695.58
8,2022,1,0.23,13901.09
8,2022,2,0.239,10905.67
8,2022,3,0.273,18278.9
8,2022,4,0.265,18705.74
8,2022,5,0.221,14324.79
8,2022,6,0.222,8914.08
8,2022,7,0.279,15776.15
8,2022,8,0.251,23179.33
8,2022,9,0.273,16968.16
8,2022,10,0.263,16964.7
8,2022,11,0.246,21574.81
8,2022,12,0.276,21166.24
8,2023,1,0.282,11205.27
8,2023,2,0.3,18308.2
8,2023,3,0.307,22384.59
8,2023,4,0.311,21612.59
8,2023,5,0.33,11621.5
8,2023,6,0.326,26940.99
8,2023,7,0.328,19244.67
8,2023,8,0.302,15452.31
8,2023,9,0.321,12359.77
8,2023,10,0.306,20125.59
8,2023,11,0.3,10633.54
8,2023,12,0.312,9239.6
8,2024,1,0.333,25663.02
8,2024,2,0.367,27059.49
8,2024,3,0.37,15088.44
8,2024,4,0.324,15552.09
8,2024,5,0.367,23777.52
8,2024,6,0.324,13800.53
8,2024,7,0.351,26307.46
8,2024,8,0.365,13239.03
8,2024,9,0.357,22034.27
8,2024,10,0.361,24342.92
8,2024,11,0.322,19056.01
8,2024,12,0.336,22130.53
8,2025,1,0.419,12956.42
8,2025,2,0.415,10706.29
8,2025,3,0.404,19449.68
8,2025,4,0.419,29745.69
8,2025,5,0.413,22458.7
8,2025,6,0.403,29756.12
8,2025,7,0.428,23725.41
8,2025,8,0.376,12999.72
8,2025,9,0.401,17020.53
8,2025,10,0.399,16282.32
8,2025,11,0.403,16949.08
8,2025,12,0.372,27723.62
