FlowID,ProductKey,WarehouseKey,CharityKey,DateKey,InspectionDateKey,DonationDateKey,FlowStage,Quantity,UnitValue,LogisticsCost,RepairCost,TaxCreditEarned,DestructionCost,BATCH_ID,IMPORT_TIMESTAMP,SOURCE_SYSTEM,RECORD_HASH
40,1042,3,101,2025-10-04,2025-10-12,2025-10-27,Donated,24,157.65,191.59,776.96,3751.78,0.0,B-119116,2025-01-12 09:11:13,LEGACY_ERP,36fe950f
41,1062,4,,2023-04-09,2023-04-12,,Destroyed,5,57.33,12.31,0.0,0.0,53.0,B-665990,2025-01-27 23:56:33,SAP_WMS,3052ed76
42,1043,3,,2025-05-08,2025-05-12,,Damaged,6,231.3,18.51,0.0,0.0,0.0,B-145814,2025-01-14 11:43:46,SAP_WMS,2263a16a
43,1078,5,,2024-07-08,,,Store,8,31.76,92.55,0.0,0.0,0.0,B-591798,2025-01-27 06:23:43,MANUAL_ENTRY,2228a076
44,1059,5,,2024-02-22,2024-02-27,,Damaged,14,265.25,327.51,0.0,0.0,0.0,B-245121,2025-01-28 08:03:41,LEGACY_ERP,1db7d169
45,1070,2,104,2025-12-27,2026-01-06,2026-01-13,Donated,4,24.9,14.84,111.57,153.86,0.0,B-558723,2025-01-03 07:52:28,LEGACY_ERP,7aad7e4
46,1053,1,,2024-03-22,2024-03-25,,Damaged,8,181.55,103.62,0.0,0.0,0.0,B-129556,2025-01-11 03:53:45,MANUAL_ENTRY,1b6b46ab
47,1018,3,,2022-03-20,,,Store,16,56.71,296.46,0.0,0.0,0.0,B-839808,2025-01-16 14:39:00,SAP_WMS,72d3d15
48,1032,4,,2022-11-03,2022-11-11,,Damaged,24,17.94,407.04,0.0,0.0,0.0,B-402096,2025-01-08 09:07:03,SAP_WMS,20d44cf3
49,1079,8,,2022-05-09,,,Warehouse,16,48.65,89.29,0.0,0.0,0.0,B-640410,2025-01-19 07:45:09,LEGACY_ERP,216e8768
50,1000,6,,2023-05-08,2023-05-15,,Repair,6,65.78,107.76,45.41,0.0,0.0,B-651613,2025-01-18 16:50:32,MANUAL_ENTRY,7430940
51,1049,8,,2022-03-31,2022-04-03,,Repair,12,61.19,42.26,65.85,0.0,0.0,B-868544,2025-01-22 20:06:49,MANUAL_ENTRY,35032eb7
52,1042,3,,2022-04-01,2022-04-05,,Damaged,11,207.97,75.69,0.0,0.0,0.0,B-817941,2025-01-15 22:30:40,SAP_WMS,39e574fa
53,1017,2,,2024-07-26,,,Warehouse,7,52.38,15.84,0.0,0.0,0.0,B-143941,2025-01-11 09:32:25,MANUAL_ENTRY,24420f88
54,1032,1,,2025-08-17,,,Store,12,16.08,258.21,0.0,0.0,0.0,B-787584,2025-01-11 08:07:51,LEGACY_ERP,21ece3eb
55,1051,8,,2024-03-02,,,Store,6,47.23,89.58,0.0,0.0,0.0,B-936020,2025-01-17 08:51:05,MANUAL_ENTRY,2120e1a3
56,1010,7,,2025-05-18,2025-05-21,,Destroyed,6,93.66,31.64,0.0,0.0,35.35,B-410000,2025-01-10 14:38:45,LEGACY_ERP,10a02fd0
57,1056,6,,2024-07-04,,,Warehouse,12,39.72,68.27,0.0,0.0,0.0,B-770532,2025-01-26 01:04:42,MANUAL_ENTRY,1ff53a31
58,1046,3,,2022-03-05,,,Warehouse,20,66.97,364.11,0.0,0.0,0.0,B-232361,2025-01-03 07:49:41,LEGACY_ERP,1d235aa7
59,1049,1,,2025-05-24,,,Store,15,63.16,115.39,0.0,0.0,0.0,B-900152,2025-01-03 18:08:33,LEGACY_ERP,1f6f44cd
60,1040,5,,2023-05-27,2023-06-04,,Destroyed,1,160.46,19.23,0.0,0.0,7.49,B-223481,2025-01-09 08:45:28,SAP_WMS,2d1edfec
61,1036,8,,2023-02-14,,,Warehouse,3,95.3,42.42,0.0,0.0,0.0,B-566732,2025-01-03 21:54:20,MANUAL_ENTRY,1c321848
62,1008,5,102,2023-09-07,2023-09-14,2023-10-05,Donated,23,117.35,143.92,598.15,2675.68,0.0,B-227257,2025-01-07 04:15:50,LEGACY_ERP,7a48434
63,1046,6,,2024-08-15,2024-08-18,,Destroyed,18,57.77,150.06,0.0,0.0,197.25,B-851759,2025-01-24 15:33:26,LEGACY_ERP,3aa778b9
64,1073,2,,2022-09-14,2022-09-24,,Destroyed,21,51.81,154.02,0.0,0.0,151.04,B-969325,2025-01-25 17:40:37,SAP_WMS,37193694
65,1016,7,104,2024-10-26,2024-10-30,2024-11-03,Donated,2,70.63,13.98,41.09,171.72,0.0,B-843788,2025-01-08 11:33:57,LEGACY_ERP,b01eb6a
66,1032,4,,2025-07-24,2025-08-03,,Destroyed,9,17.41,74.28,0.0,0.0,51.53,B-772124,2025-01-06 18:37:09,SAP_WMS,301e8eeb
67,1079,6,,2025-02-28,,,Warehouse,1,136.46,2.49,0.0,0.0,0.0,B-908475,2025-01-19 08:41:13,MANUAL_ENTRY,209f3c9b
68,1079,1,107,2024-10-16,2024-10-24,2024-10-26,Donated,18,75.12,67.28,606.59,1695.71,0.0,B-176517,2025-01-23 01:10:28,LEGACY_ERP,24f3d974
69,1059,4,,2023-11-28,2023-12-05,,Repair,11,300.75,236.58,160.37,0.0,0.0,B-237118,2025-01-25 11:32:35,SAP_WMS,1a62460f
70,1030,8,,2022-09-08,,,Store,8,40.11,68.28,0.0,0.0,0.0,B-502810,2025-01-28 19:26:15,SAP_WMS,3a05e661
71,1041,6,104,2023-01-24,2023-01-26,2023-02-11,Donated,16,42.05,127.61,304.07,1140.19,0.0,B-512344,2025-01-17 14:15:13,MANUAL_ENTRY,1c8bb64e
72,1006,1,,2023-07-31,2023-08-06,,Damaged,21,112.83,380.22,0.0,0.0,0.0,B-988324,2025-01-04 13:08:56,LEGACY_ERP,34855eff
73,1046,7,,2024-01-20,,,Warehouse,2,49.59,32.52,0.0,0.0,0.0,B-680096,2025-01-10 02:24:32,LEGACY_ERP,36e1e03f
74,1070,5,,2025-06-30,2025-07-07,,Repair,4,49.81,11.09,31.6,0.0,0.0,B-455556,2025-01-18 11:48:09,SAP_WMS,2c84a1c6
75,1065,7,,2024-10-21,,,Warehouse,2,21.38,16.92,0.0,0.0,0.0,B-596756,2025-01-17 14:09:38,MANUAL_ENTRY,ee80cf6
76,1041,6,,2022-11-29,2022-12-05,,Damaged,20,77.94,128.72,0.0,0.0,0.0,B-631958,2025-01-27 16:34:31,MANUAL_ENTRY,29fcd47b
77,1038,8,,2022-02-04,2022-02-12,,Damaged,22,50.34,175.41,0.0,0.0,0.0,B-935457,2025-01-24 22:40:01,MANUAL_ENTRY,245590a1
78,1033,4,,2022-04-16,2022-04-24,,Repair,6,56.62,30.87,159.81,0.0,0.0,B-813793,2025-01-08 01:36:44,SAP_WMS,122bb07d
79,1002,8,,2023-10-05,2023-10-13,,Damaged,14,54.77,86.0,0.0,0.0,0.0,B-741181,2025-01-16 23:46:03,MANUAL_ENTRY,ecc38e9
80,1066,4,,2025-02-22,,,Store,22,23.28,107.14,0.0,0.0,0.0,B-281594,2025-01-15 17:21:34,LEGACY_ERP,31374f44
81,1033,8,,2023-01-29,2023-02-04,,Destroyed,9,111.12,48.14,0.0,0.0,45.21,B-839142,2025-01-07 22:45:31,LEGACY_ERP,24aafa68
82,1044,5,,2023-08-13,,,Warehouse,22,78.96,347.1,0.0,0.0,0.0,B-513697,2025-01-27 11:49:51,SAP_WMS,188ca7bf
83,1005,5,,2022-06-11,,,Store,15,56.94,89.04,0.0,0.0,0.0,B-324381,2025-01-07 17:17:59,MANUAL_ENTRY,3283f312
84,1034,3,,2022-08-12,2022-08-22,,Repair,19,14.84,65.28,123.94,0.0,0.0,B-344146,2025-01-02 03:26:21,MANUAL_ENTRY,2431be99
85,1012,3,,2022-01-11,2022-01-20,,Destroyed,6,59.41,26.65,0.0,0.0,68.49,B-309144,2025-01-25 09:20:18,MANUAL_ENTRY,9bf32df
86,1011,4,102,2024-12-31,2025-01-08,2025-01-04,Donated,2,152.72,44.88,20.5,237.14,0.0,B-295361,2025-01-24 09:56:02,SAP_WMS,190ebca5
87,1072,2,,2023-11-18,,,Store,21,104.86,331.38,0.0,0.0,0.0,B-240718,2025-01-28 16:29:17,SAP_WMS,39b97c4a
88,1014,6,111,2022-11-29,2022-12-05,2022-12-12,Donated,21,116.45,223.26,222.31,2290.18,0.0,B-894068,2025-01-07 05:39:54,MANUAL_ENTRY,1fe96ee3
89,1054,6,,2022-06-27,2022-07-01,,Damaged,4,121.6,12.43,0.0,0.0,0.0,B-360096,2025-01-01 08:24:15,LEGACY_ERP,36336d8a
90,1034,6,,2023-09-11,2023-09-16,,Repair,19,11.49,39.3,467.6,0.0,0.0,B-223967,2025-01-15 09:10:25,MANUAL_ENTRY,261f2c99
91,1039,2,102,2025-08-01,2025-08-05,2025-08-19,Donated,10,72.42,42.05,116.25,758.34,0.0,B-735163,2025-01-12 13:44:35,LEGACY_ERP,366e4f52
92,1068,4,107,2023-05-22,2023-05-29,2023-06-10,Donated,20,36.57,434.34,149.12,1265.16,0.0,B-691573,2025-01-04 01:53:35,MANUAL_ENTRY,12e603fc
93,1073,3,,2022-12-03,,,Store,17,72.4,237.21,0.0,0.0,0.0,B-851742,2025-01-19 15:05:57,MANUAL_ENTRY,2278aad2
94,1007,8,,2022-09-28,2022-10-04,,Repair,15,169.46,80.75,326.46,0.0,0.0,B-515182,2025-01-09 00:47:13,MANUAL_ENTRY,aa2650b
95,1005,7,101,2023-12-07,2023-12-09,2023-12-25,Donated,18,35.93,143.37,594.67,821.66,0.0,B-288724,2025-01-25 04:49:41,MANUAL_ENTRY,2f4bfd78
96,1053,6,,2024-02-23,2024-03-04,,Damaged,13,131.35,165.9,0.0,0.0,0.0,B-464663,2025-01-04 05:34:25,MANUAL_ENTRY,e1c5560
97,1028,1,,2022-02-16,2022-02-26,,Destroyed,15,61.38,271.83,0.0,0.0,118.5,B-340820,2025-01-08 14:22:09,LEGACY_ERP,1205f14f
98,1014,1,,2025-09-14,2025-09-16,,Damaged,25,80.77,571.32,0.0,0.0,0.0,B-170559,2025-01-04 19:02:28,MANUAL_ENTRY,30f8506d
99,1006,4,,2022-04-01,2022-04-03,,Damaged,8,69.67,125.73,0.0,0.0,0.0,B-403314,2025-01-08 23:36:20,MANUAL_ENTRY,2c3a2979
100,1041,4,104,2023-09-11,2023-09-21,2023-09-15,Donated,22,103.22,112.81,382.95,1567.76,0.0,B-870925,2025-01-06 20:43:27,MANUAL_ENTRY,25ae2146
101,1006,6,102,2025-08-10,2025-08-18,2025-08-22,Donated,17,74.43,199.53,297.33,1850.18,0.0,B-664058,2025-01-16 07:54:14,LEGACY_ERP,333ed137
102,1018,8,,2022-04-29,2022-05-04,,Repair,14,67.03,224.43,126.32,0.0,0.0,B-446305,2025-01-21 02:59:28,LEGACY_ERP,be0cf18
103,1068,4,,2022-04-16,,,Store,22,34.13,371.58,0.0,0.0,0.0,B-176319,2025-01-07 18:46:42,MANUAL_ENTRY,13d97a44
104,1061,4,,2023-11-13,,,Store,1,15.1,9.81,0.0,0.0,0.0,B-877493,2025-01-04 23:48:30,SAP_WMS,327b0518
105,1077,4,107,2024-03-23,2024-03-30,2024-04-12,Donated,18,41.15,70.73,242.85,916.16,0.0,B-477114,2025-01-17 15:29:06,MANUAL_ENTRY,2402028c
106,1040,4,,2024-01-30,,,Store,2,81.87,32.25,0.0,0.0,0.0,B-253011,2025-01-01 08:35:59,MANUAL_ENTRY,2b068e79
107,1053,5,,2022-11-09,,,Store,8,276.68,102.69,0.0,0.0,0.0,B-623555,2025-01-18 20:43:21,LEGACY_ERP,36d0c782
108,1062,8,,2024-08-01,,,Store,12,69.43,36.19,0.0,0.0,0.0,B-612036,2025-01-06 17:41:03,MANUAL_ENTRY,8200c1f
109,1009,1,,2022-01-14,2022-01-18,,Damaged,21,19.43,71.16,0.0,0.0,0.0,B-630299,2025-01-15 11:03:39,MANUAL_ENTRY,30a1fd05
110,1078,8,,2025-09-12,2025-09-20,,Damaged,1,12.42,15.57,0.0,0.0,0.0,B-655134,2025-01-24 08:34:18,SAP_WMS,261a2fb0
111,1055,3,,2022-08-08,2022-08-18,,Destroyed,17,72.72,147.57,0.0,0.0,80.37,B-471658,2025-01-09 12:05:23,LEGACY_ERP,23561914
112,1072,4,,2025-11-28,,,Store,22,61.25,459.9,0.0,0.0,0.0,B-999908,2025-01-21 01:05:25,LEGACY_ERP,1e196cd7
113,1070,8,,2022-04-25,2022-05-03,,Repair,23,44.04,69.65,459.9,0.0,0.0,B-447362,2025-01-19 03:57:33,SAP_WMS,14aa5f8c
114,1027,8,,2023-07-10,,,Warehouse,3,40.12,18.32,0.0,0.0,0.0,B-669408,2025-01-19 21:02:11,LEGACY_ERP,6f66bcf
115,1026,3,,2025-12-30,2026-01-07,,Destroyed,3,100.32,34.17,0.0,0.0,24.23,B-666820,2025-01-11 12:48:47,SAP_WMS,388d6646
116,1010,6,,2022-04-20,,,Warehouse,8,95.1,56.26,0.0,0.0,0.0,B-906360,2025-01-20 19:25:49,LEGACY_ERP,7db4407
117,1034,8,,2024-10-01,,,Store,18,19.05,137.64,0.0,0.0,0.0,B-812711,2025-01-19 21:24:05,MANUAL_ENTRY,18dd6056
118,1031,2,,2022-06-18,,,Store,13,78.74,81.51,0.0,0.0,0.0,B-875584,2025-01-13 10:23:06,SAP_WMS,64aff54
119,1039,8,107,2024-01-08,2024-01-18,2024-01-28,Donated,4,76.78,11.18,42.49,303.34,0.0,B-208310,2025-01-01 02:22:35,SAP_WMS,2c29e40b
120,1076,6,,2024-02-28,,,Warehouse,14,33.53,181.74,0.0,0.0,0.0,B-686716,2025-01-08 18:33:10,MANUAL_ENTRY,1e53cadc
121,1021,3,,2023-07-05,,,Store,16,23.44,138.03,0.0,0.0,0.0,B-389366,2025-01-14 09:30:50,SAP_WMS,1d128caf
122,1032,4,,2025-07-04,2025-07-07,,Damaged,20,18.65,190.41,0.0,0.0,0.0,B-107096,2025-01-13 10:53:39,LEGACY_ERP,396bde18
123,1042,8,,2023-11-17,2023-11-21,,Damaged,21,125.13,164.75,0.0,0.0,0.0,B-732512,2025-01-23 06:30:20,SAP_WMS,1f72a2de
124,1040,5,,2025-11-24,2025-11-30,,Repair,19,149.44,381.45,280.76,0.0,0.0,B-512022,2025-01-12 03:59:36,SAP_WMS,2bdced33
125,1069,3,,2025-10-28,2025-11-02,,Destroyed,1,42.09,23.16,0.0,0.0,7.15,B-405482,2025-01-27 22:04:52,LEGACY_ERP,3107f1d9
126,1063,3,,2025-07-21,,,Store,9,48.13,160.71,0.0,0.0,0.0,B-927406,2025-01-13 02:28:38,LEGACY_ERP,2b395d68
127,1051,7,,2025-01-18,,,Warehouse,12,62.13,223.56,0.0,0.0,0.0,B-722665,2025-01-21 02:06:49,SAP_WMS,300c0637
128,1045,3,,2025-08-18,2025-08-26,,Repair,19,158.59,150.13,481.16,0.0,0.0,B-447704,2025-01-26 13:06:00,SAP_WMS,16850c67
129,1028,4,,2024-07-01,2024-07-11,,Damaged,15,45.43,298.53,0.0,0.0,0.0,B-125755,2025-01-16 03:18:26,SAP_WMS,d638f11
130,1018,6,,2023-10-01,,,Store,7,75.31,107.67,0.0,0.0,0.0,B-202365,2025-01-15 23:44:28,LEGACY_ERP,a42769f
131,1038,1,,2025-12-26,,,Warehouse,11,54.68,194.31,0.0,0.0,0.0,B-272337,2025-01-24 07:33:11,MANUAL_ENTRY,10358ad8
132,1042,7,,2024-08-04,,,Store,13,107.3,75.12,0.0,0.0,0.0,B-789237,2025-01-14 12:01:47,MANUAL_ENTRY,1296d7a9
133,1057,7,,2024-03-07,,,Warehouse,7,139.44,22.64,0.0,0.0,0.0,B-948014,2025-01-26 02:36:06,MANUAL_ENTRY,11ed0764
134,1046,6,,2023-02-08,2023-02-17,,Damaged,9,73.37,162.66,0.0,0.0,0.0,B-770153,2025-01-11 19:24:39,LEGACY_ERP,2b875d39
135,1014,6,,2023-12-22,2023-12-28,,Destroyed,20,154.72,182.1,0.0,0.0,181.25,B-718836,2025-01-03 21:08:20,SAP_WMS,153aa78f
136,1039,2,,2023-01-10,2023-01-18,,Damaged,5,83.15,25.32,0.0,0.0,0.0,B-702727,2025-01-13 13:11:31,MANUAL_ENTRY,285a4d06
137,1022,3,,2024-09-29,,,Store,6,82.67,69.96,0.0,0.0,0.0,B-156215,2025-01-28 11:00:31,SAP_WMS,1272dd30
138,1049,8,,2024-04-17,2024-04-21,,Repair,14,42.2,87.65,256.42,0.0,0.0,B-132359,2025-01-26 07:18:02,LEGACY_ERP,1459b6a6
139,1068,5,,2022-12-11,2022-12-21,,Destroyed,19,63.94,367.95,0.0,0.0,187.97,B-700534,2025-01-04 08:49:34,LEGACY_ERP,28a6b7b1
140,1005,8,,2025-01-23,,,Store,14,60.72,36.6,0.0,0.0,0.0,B-887842,2025-01-08 09:55:02,LEGACY_ERP,16c7d7f2
141,1044,2,,2024-06-18,2024-06-25,,Destroyed,4,77.0,79.86,0.0,0.0,20.53,B-739905,2025-01-21 13:10:39,SAP_WMS,3830d99e
142,1026,4,,2022-05-02,2022-05-09,,Repair,18,126.06,199.08,380.94,0.0,0.0,B-406849,2025-01-10 18:17:54,MANUAL_ENTRY,316f84d4
143,1012,3,102,2024-04-22,2024-04-26,2024-05-02,Donated,9,73.63,64.82,79.26,547.02,0.0,B-968726,2025-01-08 21:25:31,SAP_WMS,2aea6b35
144,1034,7,,2024-02-08,2024-02-11,,Damaged,21,18.46,142.12,0.0,0.0,0.0,B-886224,2025-01-09 22:59:56,LEGACY_ERP,230f9cc0
145,1062,6,,2025-04-06,,,Warehouse,25,33.75,177.08,0.0,0.0,0.0,B-580718,2025-01-21 21:44:22,SAP_WMS,38e2441e
146,1068,7,,2023-03-23,2023-03-29,,Destroyed,7,52.99,104.34,0.0,0.0,41.34,B-706007,2025-01-05 18:54:31,LEGACY_ERP,31a4cf43
147,1006,1,,2022-07-23,2022-07-27,,Repair,15,102.44,94.41,493.24,0.0,0.0,B-100708,2025-01-14 06:44:58,SAP_WMS,2f8f6eda
148,1038,3,,2023-07-16,,,Warehouse,12,40.5,126.09,0.0,0.0,0.0,B-780432,2025-01-06 01:25:40,LEGACY_ERP,346c78e3
149,1029,7,,2025-09-04,,,Warehouse,4,44.46,24.09,0.0,0.0,0.0,B-239145,2025-01-19 07:33:43,LEGACY_ERP,68e0948
150,1001,6,,2022-09-04,2022-09-09,,Destroyed,14,86.06,86.3,0.0,0.0,102.19,B-866260,2025-01-26 03:06:20,LEGACY_ERP,191ce0d7
151,1017,7,,2022-09-30,2022-10-02,,Repair,22,83.15,62.86,460.14,0.0,0.0,B-272088,2025-01-15 11:46:13,MANUAL_ENTRY,35d983fe
152,1019,7,,2025-06-15,2025-06-18,,Repair,7,158.97,17.64,56.1,0.0,0.0,B-502686,2025-01-12 13:20:50,SAP_WMS,15d19c67
153,1035,2,,2023-05-24,2023-05-26,,Repair,20,70.83,126.54,270.95,0.0,0.0,B-790388,2025-01-10 06:33:38,MANUAL_ENTRY,1208a9dc
154,1050,5,,2025-08-16,,,Warehouse,8,77.38,39.75,0.0,0.0,0.0,B-623850,2025-01-21 19:04:33,SAP_WMS,1d121ca5
155,1040,3,,2024-03-03,2024-03-07,,Destroyed,19,143.34,257.94,0.0,0.0,150.43,B-907788,2025-01-03 00:37:04,SAP_WMS,16bd85c3
156,1027,1,108,2022-05-04,2022-05-12,2022-05-31,Donated,13,47.48,65.52,310.14,668.38,0.0,B-521818,2025-01-03 20:34:34,MANUAL_ENTRY,fbb6530
157,1035,2,,2023-09-27,,,Warehouse,7,34.44,54.92,0.0,0.0,0.0,B-442622,2025-01-13 18:40:48,MANUAL_ENTRY,318c4b94
158,1008,5,,2025-12-01,2025-12-04,,Damaged,8,165.73,18.78,0.0,0.0,0.0,B-221620,2025-01-15 19:38:03,LEGACY_ERP,3096ed3e
159,1022,2,105,2022-01-26,2022-02-05,2022-02-14,Donated,23,111.54,142.71,457.52,1999.48,0.0,B-855777,2025-01-09 05:23:08,MANUAL_ENTRY,37f3d068
160,1034,2,,2022-03-02,,,Store,14,11.53,50.85,0.0,0.0,0.0,B-846925,2025-01-19 20:04:31,LEGACY_ERP,26a6877c
161,1046,1,,2024-10-20,2024-10-23,,Destroyed,6,99.53,75.72,0.0,0.0,31.78,B-806866,2025-01-24 03:14:47,MANUAL_ENTRY,61ff61c
162,1005,1,,2023-05-16,,,Warehouse,12,29.68,51.57,0.0,0.0,0.0,B-999138,2025-01-02 17:51:58,MANUAL_ENTRY,355cf2a4
163,1053,4,,2023-10-22,,,Store,24,275.15,282.21,0.0,0.0,0.0,B-699298,2025-01-12 03:32:43,SAP_WMS,117041be
164,1028,1,,2024-04-01,,,Warehouse,15,88.9,323.82,0.0,0.0,0.0,B-425790,2025-01-11 02:35:29,SAP_WMS,1d9240f2
165,1025,5,,2025-02-28,2025-03-09,,Destroyed,24,120.69,413.01,0.0,0.0,172.21,B-913575,2025-01-07 23:57:34,SAP_WMS,f98c22d
