SnapshotDate,WarehouseKey,ProductKey,StockOnHand,DamagedCount
2022-01-10,6,1062,56,4
2022-01-10,6,1052,8,1
2022-01-10,7,1010,159,9
2022-01-10,7,1029,178,24
2022-01-10,7,1053,174,11
2022-01-10,7,1064,121,10
2022-01-10,7,1012,70,5
2022-01-10,8,1028,154,10
2022-01-10,8,1040,98,0
2022-01-10,8,1047,94,13
2022-01-10,8,1065,98,2
2022-01-10,8,1059,76,1
2022-01-10,8,1016,30,0
2022-01-17,1,1062,79,6
2022-01-17,1,1011,107,5
2022-01-17,1,1041,157,14
2022-01-17,1,1039,45,2
2022-01-17,1,1001,189,9
2022-01-17,1,1072,146,7
2022-01-17,1,1021,95,4
2022-01-17,1,1022,99,11
2022-01-17,1,1024,159,18
2022-01-17,2,1058,90,10
2022-01-17,2,1023,7,0
2022-01-17,2,1055,44,1
2022-01-17,2,1026,180,25
2022-01-17,2,1038,12,1
2022-01-17,2,1066,45,4
2022-01-17,2,1047,101,14
2022-01-17,3,1020,88,9
2022-01-17,3,1069,11,1
2022-01-17,3,1050,15,1
2022-01-17,3,1048,37,0
2022-01-17,3,1010,150,20
2022-01-17,3,1073,83,3
2022-01-17,3,1064,77,1
2022-01-17,3,1017,7,0
2022-01-17,3,1065,64,0
2022-01-17,4,1025,40,3
2022-01-17,4,1006,66,3
2022-01-17,4,1014,158,17
2022-01-17,4,1008,146,13
2022-01-17,4,1031,136,9
2022-01-17,5,1052,36,2
2022-01-17,5,1054,180,7
2022-01-17,5,1053,151,2
2022-01-17,5,1067,51,2
2022-01-17,5,1051,25,0
2022-01-17,5,1061,70,3
2022-01-17,5,1025,183,24
2022-01-17,5,1035,173,12
2022-01-17,5,1065,13,1
2022-01-17,6,1073,190,24
2022-01-17,6,1007,174,25
2022-01-17,6,1034,102,8
2022-01-17,6,1030,82,2
2022-01-17,6,1052,170,2
2022-01-17,6,1038,188,2
2022-01-17,6,1032,8,1
2022-01-17,6,1079,118,0
2022-01-17,7,1078,91,1
2022-01-17,7,1005,166,17
2022-01-17,7,1046,123,3
2022-01-17,7,1026,13,1
2022-01-17,7,1004,10,1
2022-01-17,7,1029,75,6
2022-01-17,7,1021,71,6
2022-01-17,7,1052,63,8
2022-01-17,7,1011,152,17
2022-01-17,8,1019,151,1
2022-01-17,8,1018,183,20
2022-01-17,8,1066,173,10
2022-01-17,8,1039,167,15
2022-01-17,8,1004,169,7
2022-01-17,8,1008,88,8
2022-01-17,8,1076,20,2
2022-01-17,8,1032,73,1
2022-01-17,8,1062,115,7
2022-01-24,1,1065,14,0
2022-01-24,1,1077,110,5
2022-01-24,1,1020,31,2
2022-01-24,1,1056,53,0
2022-01-24,1,1045,179,0
2022-01-24,2,1003,162,24
2022-01-24,2,1053,142,18
2022-01-24,2,1061,19,0
2022-01-24,2,1036,178,20
2022-01-24,2,1064,64,0
2022-01-24,2,1015,66,9
2022-01-24,2,1057,65,7
2022-01-24,3,1065,122,0
2022-01-24,3,1013,161,18
2022-01-24,3,1027,185,9
2022-01-24,3,1000,77,9
2022-01-24,3,1012,87,7
2022-01-24,3,1017,22,0
2022-01-24,3,1011,57,4
2022-01-24,4,1007,35,3
2022-01-24,4,1023,150,3
2022-01-24,4,1076,186,17
2022-01-24,4,1003,200,29
2022-01-24,4,1055,90,3
2022-01-24,5,1009,128,0
2022-01-24,5,1007,52,5
2022-01-24,5,1053,186,16
2022-01-24,5,1063,164,3
2022-01-24,5,1003,38,3
2022-01-24,5,1059,31,3
2022-01-24,5,1050,128,7
2022-01-24,5,1048,45,3
2022-01-24,6,1041,21,3
2022-01-24,6,1063,174,22
2022-01-24,6,1068,146,13
2022-01-24,6,1009,64,1
2022-01-24,6,1007,133,11
2022-01-24,6,1044,100,4
2022-01-24,6,1016,174,10
2022-01-24,6,1064,111,14
2022-01-24,6,1037,101,15
2022-01-24,7,1056,157,2
2022-01-24,7,1078,27,2
2022-01-24,7,1000,58,4
2022-01-24,7,1041,10,1
2022-01-24,7,1038,42,6
2022-01-24,7,1015,82,2
2022-01-24,7,1010,113,13
2022-01-24,7,1054,174,18
2022-01-24,7,1048,115,14
2022-01-24,8,1066,133,3
2022-01-24,8,1054,107,0
2022-01-24,8,1073,71,1
2022-01-24,8,1001,200,7
2022-01-24,8,1006,131,18
2022-01-24,8,1059,186,20
2022-01-24,8,1071,113,8
2022-01-24,8,1022,176,1
2022-01-31,1,1072,29,0
2022-01-31,1,1061,66,1
2022-01-31,1,1005,30,0
2022-01-31,1,1026,99,5
2022-01-31,1,1070,129,15
2022-01-31,1,1030,18,0
2022-01-31,1,1039,142,7
2022-01-31,2,1060,134,5
2022-01-31,2,1064,197,8
2022-01-31,2,1039,93,6
2022-01-31,2,1078,8,1
2022-01-31,2,1002,64,2
2022-01-31,3,1015,55,3
2022-01-31,3,1025,171,11
2022-01-31,3,1005,74,0
2022-01-31,3,1019,68,5
2022-01-31,3,1016,120,2
2022-01-31,4,1025,165,14
2022-01-31,4,1071,146,2
2022-01-31,4,1033,38,0
2022-01-31,4,1032,157,12
2022-01-31,4,1062,171,22
2022-01-31,4,1020,85,10
2022-01-31,5,1061,115,1
2022-01-31,5,1029,119,13
2022-01-31,5,1047,109,8
2022-01-31,5,1010,129,2
2022-01-31,5,1041,42,2
2022-01-31,5,1036,58,4
2022-01-31,5,1072,192,23
2022-01-31,5,1048,108,7
2022-01-31,5,1006,72,8
2022-01-31,5,1049,88,4
2022-01-31,6,1058,135,7
2022-01-31,6,1043,42,3
2022-01-31,6,1013,169,18
2022-01-31,6,1042,125,7
2022-01-31,6,1062,108,1
2022-01-31,6,1066,116,7
2022-01-31,6,1005,194,28
2022-01-31,6,1003,20,0
2022-01-31,6,1040,117,16
2022-01-31,7,1019,141,10
2022-01-31,7,1011,164,23
2022-01-31,7,1005,184,12
2022-01-31,7,1043,148,7
2022-01-31,7,1022,72,5
2022-01-31,7,1063,34,0
2022-01-31,7,1070,114,2
2022-01-31,7,1031,183,1
2022-01-31,7,1029,103,11
2022-01-31,7,1075,28,2
2022-01-31,8,1012,200,10
2022-01-31,8,1027,135,17
2022-01-31,8,1065,63,4
2022-01-31,8,1019,189,28
2022-01-31,8,1021,162,19
2022-01-31,8,1075,103,1
2022-01-31,8,1053,89,2
2022-01-31,8,1076,13,1
2022-01-31,8,1025,144,17
2022-01-31,8,1048,41,2
2022-02-07,1,1048,133,11
2022-02-07,1,1059,28,2
2022-02-07,1,1076,133,12
2022-02-07,1,1009,152,9
2022-02-07,1,1024,14,2
2022-02-07,1,1064,81,8
2022-02-07,2,1009,132,12
2022-02-07,2,1067,112,3
2022-02-07,2,1078,97,4
2022-02-07,2,1017,96,11
2022-02-07,2,1010,137,0
2022-02-07,2,1059,173,20
2022-02-07,2,1068,114,3
2022-02-07,2,1000,138,14
2022-02-07,3,1003,22,1
2022-02-07,3,1010,52,0
2022-02-07,3,1027,21,3
2022-02-07,3,1052,56,5
2022-02-07,3,1040,119,12
2022-02-07,4,1013,102,8
2022-02-07,4,1030,50,1
2022-02-07,4,1051,188,5
2022-02-07,4,1039,38,4
2022-02-07,4,1057,159,16
2022-02-07,4,1023,86,3
2022-02-07,4,1042,87,13
2022-02-07,4,1070,69,1
2022-02-07,4,1045,71,3
2022-02-07,5,1012,123,7
2022-02-07,5,1073,107,6
2022-02-07,5,1032,43,2
2022-02-07,5,1022,32,2
2022-02-07,5,1050,65,1
2022-02-07,6,1033,79,5
2022-02-07,6,1028,61,1
2022-02-07,6,1002,13,0
2022-02-07,6,1069,48,5
2022-02-07,6,1003,161,1
2022-02-07,7,1057,32,1
2022-02-07,7,1047,93,9
2022-02-07,7,1037,87,1
2022-02-07,7,1061,169,16
2022-02-07,7,1055,76,6
2022-02-07,7,1011,153,22
2022-02-07,7,1059,31,3
2022-02-07,8,1065,33,4
2022-02-07,8,1038,158,4
2022-02-07,8,1060,130,5
2022-02-07,8,1010,82,1
2022-02-07,8,1018,159,17
2022-02-07,8,1057,185,15
2022-02-14,1,1025,106,2
2022-02-14,1,1030,66,5
2022-02-14,1,1029,92,2
2022-02-14,1,1027,185,4
2022-02-14,1,1007,6,0
2022-02-14,1,1054,38,3
2022-02-14,1,1046,163,13
2022-02-14,1,1044,30,3
2022-02-14,1,1057,121,0
2022-02-14,2,1011,93,12
2022-02-14,2,1022,190,26
2022-02-14,2,1068,92,11
2022-02-14,2,1005,22,3
2022-02-14,2,1070,51,4
2022-02-14,3,1070,151,13
2022-02-14,3,1076,145,7
2022-02-14,3,1079,97,4
2022-02-14,3,1031,13,1
2022-02-14,3,1028,40,5
2022-02-14,3,1014,87,10
2022-02-14,3,1011,106,8
2022-02-14,3,1072,10,1
2022-02-14,3,1065,11,1
2022-02-14,4,1039,7,0
2022-02-14,4,1026,90,7
2022-02-14,4,1017,180,5
2022-02-14,4,1001,132,10
2022-02-14,4,1006,5,0
2022-02-14,4,1065,184,7
2022-02-14,4,1070,175,13
2022-02-14,4,1043,48,2
2022-02-14,5,1068,86,3
2022-02-14,5,1022,28,1
2022-02-14,5,1020,55,5
2022-02-14,5,1042,148,8
2022-02-14,5,1001,137,8
2022-02-14,5,1044,44,0
2022-02-14,5,1031,151,8
2022-02-14,5,1065,28,4
2022-02-14,5,1050,74,4
2022-02-14,6,1055,192,15
2022-02-14,6,1020,167,18
2022-02-14,6,1005,124,5
2022-02-14,6,1034,119,6
2022-02-14,6,1023,27,1
2022-02-14,6,1039,176,19
2022-02-14,6,1043,46,6
2022-02-14,7,1011,75,3
2022-02-14,7,1013,140,10
2022-02-14,7,1065,170,14
2022-02-14,7,1004,49,0
2022-02-14,7,1077,64,2
2022-02-14,7,1020,26,3
2022-02-14,7,1028,90,1
2022-02-14,7,1069,86,5
2022-02-14,7,1076,114,14
2022-02-14,7,1058,65,3
2022-02-14,8,1048,188,22
2022-02-14,8,1009,129,13
2022-02-14,8,1006,166,10
2022-02-14,8,1058,169,23
2022-02-14,8,1017,160,15
2022-02-14,8,1056,65,2
2022-02-14,8,1059,79,6
2022-02-14,8,1071,11,1
2022-02-21,1,1060,189,24
2022-02-21,1,1004,99,8
2022-02-21,1,1044,174,24
2022-02-21,1,1002,60,6
2022-02-21,1,1017,187,16
2022-02-21,1,1011,48,5
2022-02-21,1,1012,21,3
2022-02-21,1,1075,17,2
2022-02-21,1,1042,42,2
2022-02-21,1,1001,171,11
2022-02-21,2,1047,53,2
2022-02-21,2,1018,198,4
2022-02-21,2,1048,46,4
2022-02-21,2,1058,54,7
2022-02-21,2,1032,48,1
2022-02-21,2,1055,55,0
2022-02-21,2,1072,52,7
2022-02-21,2,1030,58,2
2022-02-21,2,1036,37,0
2022-02-21,2,1038,82,4
2022-02-21,3,1036,75,6
2022-02-21,3,1001,52,2
2022-02-21,3,1003,132,19
2022-02-21,3,1078,39,4
2022-02-21,3,1034,23,3
2022-02-21,3,1045,44,3
2022-02-21,3,1027,50,4
2022-02-21,3,1038,67,3
2022-02-21,3,1079,72,7
2022-02-21,4,1021,103,4
2022-02-21,4,1002,168,17
2022-02-21,4,1033,43,2
2022-02-21,4,1068,178,11
2022-02-21,4,1077,151,19
2022-02-21,4,1036,83,12
2022-02-21,4,1030,147,9
2022-02-21,4,1062,148,5
2022-02-21,5,1063,32,1
2022-02-21,5,1044,11,0
2022-02-21,5,1073,134,14
2022-02-21,5,1049,28,0
2022-02-21,5,1046,113,4
2022-02-21,5,1047,61,5
2022-02-21,5,1070,160,20
2022-02-21,5,1079,33,3
2022-02-21,5,1055,149,6
2022-02-21,5,1032,200,3
2022-02-21,6,1023,176,21
2022-02-21,6,1033,90,6
2022-02-21,6,1035,183,13
2022-02-21,6,1049,7,0
2022-02-21,6,1036,175,0
2022-02-21,6,1074,131,13
2022-02-21,6,1041,170,4
2022-02-21,6,1051,76,11
2022-02-21,6,1076,85,1
2022-02-21,7,1007,192,7
2022-02-21,7,1074,79,11
2022-02-21,7,1052,138,10
2022-02-21,7,1014,128,19
2022-02-21,7,1018,173,9
2022-02-21,7,1058,164,9
2022-02-21,8,1071,87,10
2022-02-21,8,1036,75,9
2022-02-21,8,1038,168,10
2022-02-21,8,1021,62,7
2022-02-21,8,1055,15,1
2022-02-28,1,1044,74,9
2022-02-28,1,1034,36,2
2022-02-28,1,1037,175,0
2022-02-28,1,1010,49,2
2022-02-28,1,1042,45,5
2022-02-28,1,1065,157,10
2022-02-28,1,1059,22,2
2022-02-28,1,1039,174,17
2022-02-28,2,1056,183,16
2022-02-28,2,1048,160,3
2022-02-28,2,1065,84,9
2022-02-28,2,1010,20,3
2022-02-28,2,1009,113,3
2022-02-28,2,1078,100,14
2022-02-28,2,1040,76,8
2022-02-28,2,1045,198,0
2022-02-28,2,1000,20,2
2022-02-28,3,1064,41,1
2022-02-28,3,1054,70,9
2022-02-28,3,1073,8,0
2022-02-28,3,1005,84,2
2022-02-28,3,1067,132,8
2022-02-28,3,1001,159,14
2022-02-28,3,1019,134,9
2022-02-28,3,1048,122,10
2022-02-28,3,1063,48,2
2022-02-28,3,1065,134,2
2022-02-28,4,1043,194,15
2022-02-28,4,1009,40,4
2022-02-28,4,1040,158,10
2022-02-28,4,1051,190,22
2022-02-28,4,1023,184,4
2022-02-28,4,1038,13,1
2022-02-28,4,1029,57,0
2022-02-28,5,1051,63,7
2022-02-28,5,1007,99,9
2022-02-28,5,1036,158,20
2022-02-28,5,1017,200,23
2022-02-28,5,1053,127,5
2022-02-28,6,1064,12,1
2022-02-28,6,1039,9,1
2022-02-28,6,1049,125,11
2022-02-28,6,1066,157,18
2022-02-28,6,1046,125,11
2022-02-28,6,1065,187,6
2022-02-28,6,1043,193,19
2022-02-28,6,1058,46,6
2022-02-28,6,1052,150,21
2022-02-28,7,1068,15,1
2022-02-28,7,1067,76,8
2022-02-28,7,1013,69,6
2022-02-28,7,1079,190,11
2022-02-28,7,1032,49,1
2022-02-28,8,1068,118,12
2022-02-28,8,1074,144,4
2022-02-28,8,1024,178,26
2022-02-28,8,1046,5,0
2022-02-28,8,1066,69,2
2022-02-28,8,1006,107,0
2022-02-28,8,1076,41,6
2022-02-28,8,1069,76,4
2022-02-28,8,1025,37,5
2022-02-28,8,1078,35,0
2022-03-07,1,1029,187,25
2022-03-07,1,1064,181,13
2022-03-07,1,1036,148,9
2022-03-07,1,1049,143,11
2022-03-07,1,1019,13,1
2022-03-07,1,1057,10,0
2022-03-07,1,1033,66,4
2022-03-07,1,1031,40,6
2022-03-07,2,1029,183,23
2022-03-07,2,1041,11,1
2022-03-07,2,1040,132,3
2022-03-07,2,1003,18,2
2022-03-07,2,1035,115,4
2022-03-07,2,1039,13,0
2022-03-07,3,1000,41,2
2022-03-07,3,1014,135,16
2022-03-07,3,1013,110,1
2022-03-07,3,1006,79,9
2022-03-07,3,1032,172,12
2022-03-07,3,1011,5,0
2022-03-07,4,1020,91,2
2022-03-07,4,1040,106,2
2022-03-07,4,1005,130,4
2022-03-07,4,1021,137,4
2022-03-07,4,1003,130,1
2022-03-07,4,1015,37,5
2022-03-07,4,1013,101,3
2022-03-07,4,1069,38,2
2022-03-07,4,1064,149,4
2022-03-07,4,1041,117,15
2022-03-07,5,1000,8,0
2022-03-07,5,1032,7,0
2022-03-07,5,1005,136,8
2022-03-07,5,1023,154,11
2022-03-07,5,1057,42,2
2022-03-07,5,1014,71,0
2022-03-07,5,1068,7,0
2022-03-07,5,1027,98,10
2022-03-07,6,1070,196,10
2022-03-07,6,1065,131,12
2022-03-07,6,1078,77,9
2022-03-07,6,1027,81,7
2022-03-07,6,1035,134,18
2022-03-07,7,1079,110,8
2022-03-07,7,1019,104,12
2022-03-07,7,1049,105,6
2022-03-07,7,1074,52,6
2022-03-07,7,1009,115,7
2022-03-07,7,1010,175,22
2022-03-07,7,1051,193,2
2022-03-07,7,1076,136,17
2022-03-07,8,1076,183,26
2022-03-07,8,1056,43,2
2022-03-07,8,1064,99,8
2022-03-07,8,1058,168,9
2022-03-07,8,1048,134,10
2022-03-07,8,1069,27,3
2022-03-14,1,1023,199,9
2022-03-14,1,1054,89,2
2022-03-14,1,1028,81,0
2022-03-14,1,1043,93,4
2022-03-14,1,1056,33,3
2022-03-14,1,1041,142,6
2022-03-14,1,1037,56,1
2022-03-14,1,1065,72,2
2022-03-14,2,1039,13,0
2022-03-14,2,1059,45,3
2022-03-14,2,1022,17,1
2022-03-14,2,1030,90,4
2022-03-14,2,1066,76,0
2022-03-14,3,1062,44,0
2022-03-14,3,1037,194,10
2022-03-14,3,1011,140,18
2022-03-14,3,1022,166,5
2022-03-14,3,1032,12,1
2022-03-14,3,1028,161,0
2022-03-14,4,1033,83,10
2022-03-14,4,1019,138,11
2022-03-14,4,1049,38,4
2022-03-14,4,1055,88,10
2022-03-14,4,1012,42,4
2022-03-14,4,1031,85,8
2022-03-14,4,1048,6,0
2022-03-14,4,1059,183,21
2022-03-14,4,1053,29,1
2022-03-14,4,1024,11,0
2022-03-14,5,1021,99,12
2022-03-14,5,1061,150,12
2022-03-14,5,1077,87,10
2022-03-14,5,1050,45,0
2022-03-14,5,1065,194,2
2022-03-14,5,1043,126,15
2022-03-14,6,1070,67,0
2022-03-14,6,1002,101,9
2022-03-14,6,1001,188,3
2022-03-14,6,1021,101,15
2022-03-14,6,1064,175,25
2022-03-14,6,1014,10,0
2022-03-14,6,1007,196,2
2022-03-14,6,1040,82,9
2022-03-14,6,1027,52,0
2022-03-14,6,1078,124,16
2022-03-14,7,1035,176,4
2022-03-14,7,1000,94,10
2022-03-14,7,1012,8,0
2022-03-14,7,1002,36,0
2022-03-14,7,1059,154,17
2022-03-14,7,1058,91,9
2022-03-14,8,1007,135,20
2022-03-14,8,1055,42,6
2022-03-14,8,1000,163,2
2022-03-14,8,1065,67,5
2022-03-14,8,1034,53,4
2022-03-14,8,1025,28,0
2022-03-21,1,1061,93,6
2022-03-21,1,1018,22,1
2022-03-21,1,1059,115,6
2022-03-21,1,1034,34,0
2022-03-21,1,1022,97,9
2022-03-21,1,1024,102,11
2022-03-21,1,1029,165,11
2022-03-21,1,1010,82,9
2022-03-21,1,1077,179,2
2022-03-21,2,1058,72,1
2022-03-21,2,1070,196,22
2022-03-21,2,1007,115,5
2022-03-21,2,1069,100,7
2022-03-21,2,1078,33,3
2022-03-21,2,1043,73,0
2022-03-21,2,1074,170,5
2022-03-21,2,1063,183,6
2022-03-21,2,1050,120,7
2022-03-21,2,1030,151,6
2022-03-21,3,1034,177,4
2022-03-21,3,1047,162,17
2022-03-21,3,1059,114,0
2022-03-21,3,1035,192,21
2022-03-21,3,1012,185,7
2022-03-21,4,1061,26,3
2022-03-21,4,1072,167,0
2022-03-21,4,1003,38,3
2022-03-21,4,1042,123,15
2022-03-21,4,1033,49,1
2022-03-21,4,1019,166,23
2022-03-21,4,1040,179,14
2022-03-21,4,1028,175,16
2022-03-21,5,1062,17,2
2022-03-21,5,1019,57,1
2022-03-21,5,1069,195,5
2022-03-21,5,1058,58,5
2022-03-21,5,1065,77,8
2022-03-21,5,1078,196,7
2022-03-21,5,1049,116,13
2022-03-21,5,1043,45,2
2022-03-21,5,1001,63,9
2022-03-21,6,1062,6,0
2022-03-21,6,1014,23,2
2022-03-21,6,1070,91,9
2022-03-21,6,1026,94,2
2022-03-21,6,1018,44,1
2022-03-21,6,1027,156,20
2022-03-21,6,1042,64,1
2022-03-21,6,1025,91,9
2022-03-21,7,1010,46,4
2022-03-21,7,1004,30,0
2022-03-21,7,1045,192,17
2022-03-21,7,1011,153,3
2022-03-21,7,1069,147,22
2022-03-21,7,1042,134,14
2022-03-21,7,1005,7,1
2022-03-21,7,1061,17,0
2022-03-21,7,1072,17,0
2022-03-21,7,1016,140,17
2022-03-21,8,1078,12,0
2022-03-21,8,1012,63,7
2022-03-21,8,1079,75,9
2022-03-21,8,1028,107,2
2022-03-21,8,1016,48,6
2022-03-21,8,1004,153,0
2022-03-21,8,1029,120,4
2022-03-21,8,1051,190,16
2022-03-21,8,1002,20,3
2022-03-21,8,1050,159,7
2022-03-28,1,1036,25,1
2022-03-28,1,1037,118,16
2022-03-28,1,1054,20,2
2022-03-28,1,1048,73,6
2022-03-28,1,1000,5,0
2022-03-28,1,1074,131,18
2022-03-28,1,1014,25,2
2022-03-28,1,1006,155,5
2022-03-28,1,1020,60,5
2022-03-28,1,1027,163,22
2022-03-28,2,1020,13,1
2022-03-28,2,1007,87,12
2022-03-28,2,1022,16,0
2022-03-28,2,1062,81,4
2022-03-28,2,1026,61,0
2022-03-28,2,1006,30,0
2022-03-28,2,1039,22,3
2022-03-28,2,1072,129,0
2022-03-28,2,1076,93,1
2022-03-28,2,1067,40,5
2022-03-28,3,1007,55,5
2022-03-28,3,1060,199,21
2022-03-28,3,1040,80,10
2022-03-28,3,1031,47,3
2022-03-28,3,1041,114,11
2022-03-28,4,1026,103,9
2022-03-28,4,1061,51,4
2022-03-28,4,1044,150,2
2022-03-28,4,1047,73,8
2022-03-28,4,1068,90,13
2022-03-28,4,1033,163,12
2022-03-28,4,1012,34,4
2022-03-28,4,1016,162,9
2022-03-28,4,1070,108,10
2022-03-28,4,1022,172,25
2022-03-28,5,1043,114,3
2022-03-28,5,1032,50,7
2022-03-28,5,1056,160,4
2022-03-28,5,1028,81,2
2022-03-28,5,1070,101,4
2022-03-28,5,1072,136,2
2022-03-28,5,1030,21,2
2022-03-28,5,1001,10,1
2022-03-28,5,1010,35,3
2022-03-28,6,1072,101,14
2022-03-28,6,1016,86,3
2022-03-28,6,1026,13,0
2022-03-28,6,1018,85,12
2022-03-28,6,1015,129,1
2022-03-28,6,1062,89,5
2022-03-28,6,1014,119,1
2022-03-28,6,1010,31,2
2022-03-28,6,1035,67,10
2022-03-28,7,1018,173,18
2022-03-28,7,1056,36,5
2022-03-28,7,1050,135,4
2022-03-28,7,1057,75,4
2022-03-28,7,1079,7,1
2022-03-28,8,1068,15,2
2022-03-28,8,1028,89,4
2022-03-28,8,1016,25,0
2022-03-28,8,1032,135,9
2022-03-28,8,1021,37,4
2022-03-28,8,1003,124,13
2022-04-04,1,1050,56,2
2022-04-04,1,1037,96,6
2022-04-04,1,1017,51,1
2022-04-04,1,1052,49,7
2022-04-04,1,1031,75,1
2022-04-04,1,1029,190,22
2022-04-04,1,1026,84,0
2022-04-04,1,1015,186,10
2022-04-04,2,1012,108,3
2022-04-04,2,1055,177,24
2022-04-04,2,1016,200,13
2022-04-04,2,1059,155,7
2022-04-04,2,1076,76,9
2022-04-04,2,1019,111,2
2022-04-04,2,1008,122,9
2022-04-04,3,1032,191,22
2022-04-04,3,1070,43,0
2022-04-04,3,1057,132,10
2022-04-04,3,1064,125,0
2022-04-04,3,1023,73,10
2022-04-04,3,1007,103,8
2022-04-04,3,1060,141,21
2022-04-04,3,1042,56,7
2022-04-04,4,1040,111,6
2022-04-04,4,1026,178,3
2022-04-04,4,1007,129,8
2022-04-04,4,1024,134,3
2022-04-04,4,1062,188,13
2022-04-04,5,1032,43,2
2022-04-04,5,1028,149,13
2022-04-04,5,1013,121,7
2022-04-04,5,1018,80,10
2022-04-04,5,1015,132,10
2022-04-04,5,1069,53,1
2022-04-04,5,1023,127,17
2022-04-04,5,1058,80,11
2022-04-04,6,1054,10,0
2022-04-04,6,1032,89,7
2022-04-04,6,1059,191,22
2022-04-04,6,1043,99,4
2022-04-04,6,1048,31,2
2022-04-04,7,1078,75,2
2022-04-04,7,1054,184,17
2022-04-04,7,1015,48,0
2022-04-04,7,1033,163,14
2022-04-04,7,1019,139,16
2022-04-04,7,1071,113,4
2022-04-04,7,1023,44,1
2022-04-04,7,1029,177,10
2022-04-04,8,1035,186,17
2022-04-04,8,1022,112,15
2022-04-04,8,1019,182,18
2022-04-04,8,1015,173,15
2022-04-04,8,1028,60,2
2022-04-04,8,1077,88,9
2022-04-11,1,1075,100,7
2022-04-11,1,1049,82,4
2022-04-11,1,1006,66,2
2022-04-11,1,1073,193,16
2022-04-11,1,1031,16,0
2022-04-11,1,1036,157,8
2022-04-11,1,1063,177,0
2022-04-11,1,1045,163,9
2022-04-11,1,1069,98,1
2022-04-11,2,1058,133,18
2022-04-11,2,1075,72,9
2022-04-11,2,1002,192,10
2022-04-11,2,1013,18,1
2022-04-11,2,1062,68,10
2022-04-11,2,1009,103,4
2022-04-11,2,1044,66,6
2022-04-11,2,1036,176,0
2022-04-11,3,1053,102,10
2022-04-11,3,1071,150,13
2022-04-11,3,1020,69,6
2022-04-11,3,1055,98,12
